Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
J,"Al-Hasan, S; Thomas, B; Haines, M",,,,"Al-Hasan, S; Thomas, B; Haines, M",,,Strategic implications of benchmarking for agricultural cooperatives and farmer-controlled enterprises in Wales,OUTLOOK ON AGRICULTURE,,,English,Article,,,,,,benchmarking; agricultural cooperatives; FCEs,,"This paper describes an empirical investigation of the application of benchmarking to cooperative enterprises in Wales to determine whether it was technically feasible, at what cost, and with what result This entailed close sustained fieldwork with actual cooperatives, which was achieved by investigating the two largest farmer-controlled enterprises (FCEs) in Wales-Clynderwen and Cardiganshire Farmers Ltd, and Wynnstay and Clwyd Farmers Plc, who also collaborated in subsequent management appraisal and remedial action. The paper concludes that benchmarking is strategically feasible, that it has a favourable impact on the perceptions and attitudes of staff and members of participating cooperatives, and that-it yields workable priorities and management recommendations, which-can be implemented. Wider-adoption of the technique by cooperatives is therefore recommended as a viable survival strategy-an alternative to the recent preference for abandonment of cooperative status. This is of particular significance for the marketing/entrepreneurship interface of FCEs in Wales.","Univ Glamorgan, Sch Business, Pontypridd CF37 1DL, M Glam, Wales; Univ Wales, Inst Rural Studies, Aberystwyth SY23 3AL, Dyfed, Wales",University of South Wales; Aberystwyth University,"Al-Hasan, S (corresponding author), Univ Glamorgan, Sch Business, Pontypridd CF37 1DL, M Glam, Wales.",,,,,,,,11,3,3,0,10,I P PUBLISHING LTD,LONDON,"COLERIDGE HOUSE, 4-5 COLERIDGE GARDENS, LONDON NW6 3QH, ENGLAND",0030-7270,,,OUTLOOK AGR,Outlook Agric.,DEC,2002,31,4,,,,,267,274,,10.5367/000000002101294164,http://dx.doi.org/10.5367/000000002101294164,,,8,"Agriculture, Multidisciplinary",Science Citation Index Expanded (SCI-EXPANDED),Agriculture,631TK,,,,,2023-10-16,WOS:000180182700007,View Full Record in Web of Science
J,"Kontogeorgos, A; Giannakopoulos, N; Chatzitheodoridis, F",,,,"Kontogeorgos, Achilleas; Giannakopoulos, Nicholaos; Chatzitheodoridis, Fotios",,,Exploring the Quality Management Systems on Cooperatives' Performance before the Economic Crisis,QUALITY-ACCESS TO SUCCESS,,,English,Article,,,,,,quality management systems; financial performance; panel data; Greek cooperatives,ISO-9000 CERTIFICATION; FIRM PERFORMANCE; PRODUCT DIFFERENTIATION; COMPETITIVE ADVANTAGE; PROFITABILITY; LUSTER; IMPACT; LOST,"The implementation of quality management systems is a business strategy that can assist companies, to improve their operational efficiency and consequently their financial performance. The paper uses the Structure-Conduct-Performance paradigm to identify how quality management systems have resulted in the financial performance of the Greek agricultural cooperatives before the economic crisis. This is an alternative approach to the research related to these systems impact on companies' financial performance and the first attempt to investigate if the Greek agricultural cooperatives have benefited from the implementation of quality management systems as a broader strategic orientation that focuses on quality and diversification. Nevertheless, the estimation results cannot support that quality management systems have resulted in better financial results. On the contrary, their association proved to be negative. However, these results are not surprising and more arguments and proofs are provided to support this in the paper.","[Kontogeorgos, Achilleas] Univ Patras, Dept Business Adm Food & Agr Enterprises, Agrinion, Greece; [Giannakopoulos, Nicholaos] Univ Patras, Dept Econ, Rion, Greece; [Chatzitheodoridis, Fotios] Western Macedonia Univ Appl Sci, Div Agr Econ, Dept Agr Technol, Florina, Greece",University of Patras; University of Patras,"Chatzitheodoridis, F (corresponding author), Western Macedonia Univ Appl Sci, Dept Agr Technol, Terma Kontopoulou 53100, Florina, Greece.",akontoge@upatras.gr; ngias@upatras.gr; fxtheo@florina.teiwm.gr,"Chatzitheodoridis, Fotios/E-3450-2017","Chatzitheodoridis, Fotios/0000-0003-2008-1023; Giannakopoulos, Niholas/0000-0001-6341-4460",,,,,47,2,2,0,6,SOC ROMANA PENTRU ASIGURAREA CALITATII,BUCHAREST,"STR VASILE PARVAN NR 14, SECTOR 1, POSTAL CODE 010 216, BUCHAREST, 00000, ROMANIA",1582-2559,,,QUAL-ACCESS SUCCESS,Qual.-Access Success,JUN,2018,19,164,,,,,48,54,,,,,,7,Management,Emerging Sources Citation Index (ESCI),Business & Economics,GJ3SE,,,,,2023-10-16,WOS:000435217100003,View Full Record in Web of Science
J,"Alimohammad, M; Hosseini, SJF; Mirdamadi, SM; Dehyouri, S",,,,"Alimohammad, Mohammad; Hosseini, Seyed Jamal Farajallah; Mirdamadi, Seyed Mehdi; Dehyouri, Sahar",,,Collaborative networking among agricultural production cooperatives in Iran,HELIYON,,,English,Article,,,,,,Network; Agricultural production cooperatives; Mechanism; Iran,,"This research seeks to determine mechanisms in developing collaborative networking among agricultural production cooperatives in Iran. The research design was survey method and a network consisting of agricultural cooperatives has been defined as the core of the network. The statistical population of the study included managers of cooperatives which were administrated by the Ministry of Cooperatives, Labour and Social Welfare and the Rural Cooperative Organization of the Alborz Province (N = 540). From this target population, 176 managers of cooperatives were selected by multi-stage cluster sampling. A questionnaire was developed to determine the technical, economical, educational, legal, social, and policy making mechanisms that presented the collaborative networking model. The validity of the questionnaire was confirmed by experts in the field of Agricultural cooperative. To calculate the reliability coefficient of the questionnaire, Cronbach's alpha coefficient, which is used for multi-scale questions, was used. The mean of Cronbach's alpha coefficients in this study was 0.803. The results showed that policy making with a coefficient of 0.539, economic with a coefficient of 0.499, legal with a coefficient of 0.208, and educational mechanisms with a coefficient of 0.130 had the most impact, while technical and social mechanisms had no role in developing the collaborative networking.","[Alimohammad, Mohammad; Hosseini, Seyed Jamal Farajallah; Mirdamadi, Seyed Mehdi] Islamic Azad Univ, Sci & Res Branch, Dept Agr Econ Extens & Educ, Tehran, Iran; [Dehyouri, Sahar] Islamshahr Branch, Islamic Azad Univ, Agr Extens & Educ, Islamshahr, Iran",Islamic Azad University; Islamic Azad University,"Hosseini, SJF (corresponding author), Islamic Azad Univ, Sci & Res Branch, Dept Agr Econ Extens & Educ, Tehran, Iran.",jamalfhosseini@srbiau.ac.ir,"dehyouri, sahar -/C-9390-2016; Farajallah Hosseini, Seyed Jamal/AAT-9916-2021","dehyouri, sahar -/0000-0001-9447-3762; Farajallah Hosseini, Seyed Jamal/0000-0002-1338-8783",,,,,44,0,0,4,5,CELL PRESS,CAMBRIDGE,"50 HAMPSHIRE ST, FLOOR 5, CAMBRIDGE, MA 02139 USA",,2405-8440,,HELIYON,Heliyon,NOV,2022,8,11,,,,,,,e11846,10.1016/j.heliyon.2022.e11846,http://dx.doi.org/10.1016/j.heliyon.2022.e11846,,NOV 2022,8,Multidisciplinary Sciences,Science Citation Index Expanded (SCI-EXPANDED),Science & Technology - Other Topics,8L1EK,36468120,Green Published,,,2023-10-16,WOS:000923531700005,View Full Record in Web of Science
J,"Peng, X; Liang, Q; Deng, WD; Hendrikse, G",,,,"Peng, Xiao; Liang, Qiao; Deng, Wendong; Hendrikse, George",,,CEOs versus members' evaluation of cooperative performance: Evidence from China,SOCIAL SCIENCE JOURNAL,,,English,Article,,,,,,Farmer cooperative; Performance; Evaluation; Governance,AGRICULTURAL MARKETING COOPERATIVES; FARMER COOPERATIVES; GOVERNANCE; PARTICIPATION; DETERMINANTS; ECONOMICS; ATTITUDES; MODELS,"Cooperatives are special because the members not only own the cooperative, but also patronize it. CEO's decision has an impact on the overall members' interests. Understanding how CEOs differ from members regarding their evaluations on cooperative performance and what causes the differences, is valuable for CEOs to best serve the members. This paper evaluates the difference between CEO and member evaluation regarding their cooperatives, based on a set of first-hand data containing Chinese agricultural cooperatives (240 CEOs and 543 members). Cooperative performance is measured by three indicators: member profitability, social influence in the local community, and overall performance. The results show that members have higher scores than CEOs regarding member profitability and overall performance, while CEOs have a higher evaluation regarding social influence.","[Peng, Xiao; Hendrikse, George] Erasmus Univ, Rotterdam Sch Management, Rotterdam, Netherlands; [Peng, Xiao] Hague Univ Appl Sci, Fac Business Finance & Mkt, Int Business, The Hague, Netherlands; [Liang, Qiao] Zhejiang Unv, Sch Publ Affairs, China Acad Rural Dev, Hangzhou, Zhejiang, Peoples R China; [Deng, Wendong] Breda Univ Appl Sci, NetherlandsBreda Univ Appl Sci, Breda, Netherlands",Erasmus University Rotterdam - Excl Erasmus MC; Erasmus University Rotterdam; Breda University of Applied Sciences,"Liang, Q (corresponding author), Zhejiang Unv, Sch Publ Affairs, China Acad Rural Dev, Hangzhou, Zhejiang, Peoples R China.",liangqiao2323@zju.edu.cn,,"Liang, Qiao/0000-0001-7473-7863",,,,,40,5,5,1,19,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",ABINGDON,"2-4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXON, ENGLAND",0362-3319,1873-5355,,SOC SCI J,Soc. Sci. J.,APR 2,2020,57,2,,,,,219,229,,10.1016/j.soscij.2019.01.006,http://dx.doi.org/10.1016/j.soscij.2019.01.006,,,11,"Social Sciences, Interdisciplinary",Social Science Citation Index (SSCI),Social Sciences - Other Topics,MK5IA,,,,,2023-10-16,WOS:000548819300007,View Full Record in Web of Science
J,"Ferreira, M; Macagnan, C; Vancin, D; Toaldo, A",,,,"Ferreira, Marcelo; Macagnan, Clea; Vancin, Daniel; Toaldo, Ana",,,Technical assistance: A determinant of cooperative member loyalty,ANNALS OF PUBLIC AND COOPERATIVE ECONOMICS,,,English,Article,,,,,,cooperative system; loyalty; technical assistance,AGRICULTURAL COOPERATIVES; FARMERS COOPERATIVES; BRAND LOYALTY; GOVERNANCE,"Cooperative organizations face problems with the opportunistic behavior of their members, such as the free-rider problem. To mitigate this problem, cooperative governance systems develop strategies that aim to maximize the economic gains of cooperative members through investments in technical assistance programs. The purpose of our research is to verify if the participation in the technical assistance program increases the probability of loyalty of dairy cooperative members. To this end, we developed an econometric model with logistic regression, using secondary data extracted from the Programa Gerencial Leite. The program is developed by the cooperative system of the State of Rio Grande do Sul in Brazil and comprises 24 cooperatives. The collected data are longitudinal and include the commercial milk transactions carried out between cooperative members and cooperatives during the years 2014 to 2018, totaling 10,548 cooperative members and 28,765 observations collected and analyzed during this period. Our results indicate that participation in the technical assistance program offered by the cooperative governance increases the probability of loyalty of dairy farmers.","[Ferreira, Marcelo; Macagnan, Clea; Vancin, Daniel] Univ Vale Rio dos Sinos, Campus Porto Alegre, Porto Alegre, RS, Brazil; [Toaldo, Ana] Univ Fed Parana, Curitiba, Parana, Brazil",Universidade do Vale do Rio dos Sinos (Unisinos); Universidade Federal do Parana,"Vancin, D (corresponding author), Univ Vale Rio dos Sinos, Campus Porto Alegre, Porto Alegre, RS, Brazil.",daniel_vancin@hotmail.com,"MACAGNAN, CLEA BEATRIZ/I-1232-2013","MACAGNAN, CLEA BEATRIZ/0000-0002-9097-7266",,,,,58,6,7,5,16,WILEY,HOBOKEN,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",1370-4788,1467-8292,,ANN PUBLIC COOP ECON,Ann. Public Coop. Econ.,DEC,2021,92,4,,,,,649,668,,10.1111/apce.12312,http://dx.doi.org/10.1111/apce.12312,,DEC 2020,20,Economics,Social Science Citation Index (SSCI),Business & Economics,WR3QC,,,,,2023-10-16,WOS:000597650300001,View Full Record in Web of Science
C,"Sin, A; Nowak, C",,"Chivu, L; Ciutacu, C; IoanFranc, V; Andrei, JV",,"Sin, Alexandru; Nowak, Czeslaw",,,Dairy Cooperatives in Romania and Poland,"ECONOMIC DYNAMICS AND SUSTAINABLE DEVELOPMENT - RESOURCES, FACTORS, STRUCTURES AND POLICIES, PT 2",,,English,Proceedings Paper,"International Conference on Economic Scientific Research - Theoretical, Empirical and Practical Approaches (ESPERA)","DEC 03-04, 2015","Bucharest, ROMANIA",,,Dairy cooperatives; milk chain; processing activities,,"The '90s reshaped agricultural activities in many Eastern European countries. The cattle sector was one of the most affected by agricultural land fragmentation in post-communist Romania. Establishing agricultural cooperatives in Romania is still seen with reluctance due to the forced collectivization process in the '50s. The Polish communist regime didn't abolish private farm ownership and agricultural cooperatives have a long tradition. Polish cooperatives undertake more joint activities, such as processing and financing investment for members, while Romanian ones limit themselves to raw milk production. Some of the problems Romanian and Polish organizations are facing are common. Additionally, Polish cooperatives are also facing problems related to their milk processing activities. Romanian cooperatives must think of vertical integration and include processing in their activities, as a necessary step for development and for gaining more negotiating power in the milk chain.","[Sin, Alexandru] Romanian Acad, Natl Inst Econ Res Costin C Kiritescu, Calea 13 Septembrie 13, Bucharest 050711, Romania; [Nowak, Czeslaw] Agr Univ Krakow, Inst Econ & Social Sci, Al Mickiewicza 21, PL-3120 Krakow, Poland",National Institute for Economic Research Costin C. Kiritescu; Romanian Academy of Sciences; Agricultural University Krakow,"Sin, A (corresponding author), Romanian Acad, Natl Inst Econ Res Costin C Kiritescu, Calea 13 Septembrie 13, Bucharest 050711, Romania.",,"Nowak, Czes?aw/AAI-8398-2021; Sin, Alexandru/K-6429-2017","Nowak, Czes?aw/0000-0002-6693-4039; Sin, Alexandru/0000-0003-1814-0602",,,,,3,0,0,0,2,PETER LANG GMBH,BERLIN,"INTL VERLAG WISSENSCH, SCHLUTERSTRASSE 42, 10707 BERLIN, GERMANY",,,978-3-653-06571-8; 978-3-631-67330-0,,,,2016,,,,,,,249,254,,,,,,6,Green & Sustainable Science & Technology; Regional & Urban Planning,Conference Proceedings Citation Index - Social Science & Humanities (CPCI-SSH),Science & Technology - Other Topics; Public Administration,BK6RE,,,,,2023-10-16,WOS:000440783300019,View Full Record in Web of Science
J,"Wangu, J; Mangnus, E; van Westen, ACM",,,,"Wangu, James; Mangnus, Ellen; van Westen, A. C. M. (Guus)",,,Recognizing Determinants to Smallholders' Market Orientation and Marketing Arrangements: Building on a Case of Dairy Farming in Rural Kenya,LAND,,,English,Article,,,,,,heterogeneity; farmers' organizations; cooperative; agribusiness; inclusion; donor,AGRICULTURAL COOPERATIVES EVIDENCE; COLLECTIVE ACTION; PRODUCER ORGANIZATIONS; FOOD SECURITY; VALUE CHAINS; FARMERS; HETEROGENEITY; PARTICIPATION; EXCLUSION; BUSINESS,"Smallholder commercialization is central to international development policy and practice. As a result, several arrangements to foster market linkages are being implemented. Especially popular are farmers' organizations, which are believed to be owned, controlled, and financed by smallholders. As such, their design is considered inclusive given every household in a community is theoretically allowed to become a member, and the governance and management structure encourage participatory decision-making. However, even in the context in which farmers' organizations are actively promoted, a notable proportion of smallholders may not be able to engage in market-oriented production or may opt for the existing alternative marketing arrangements, as dictated by individual households' socioeconomic characteristics. Focusing on the case of smallholder farming in Olenguruone, Nakuru county, Kenya, where a donor funded dairy farmers' cooperative marketing arrangement is promoted alongside existing marketing opportunities, the present research investigated the factors that determine smallholders' commercial farming orientation and marketing arrangements. It employed a case study approach, combining both quantitative and qualitative research methods for a more complete empirical inquiry. The findings demonstrate that irrespective of the external support provided through marketing opportunities such as farmer organizations, smallholders' engagement in commercial farming and marketing is dictated by the socioeconomic attributes and market perceptions that are heterogeneous among households in a smallholder community.","[Wangu, James; van Westen, A. C. M. (Guus)] Univ Utrecht, Dept Human Geog & Spatial Planning, Vening Meineszgebouw A Princetonlaan, NL-3584 CB Utrecht, Netherlands; [Mangnus, Ellen] Wageningen Univ & Res, Dept Social Sci, NL-6700 HB Wageningen, Netherlands",Utrecht University; Wageningen University & Research,"Wangu, J (corresponding author), Univ Utrecht, Dept Human Geog & Spatial Planning, Vening Meineszgebouw A Princetonlaan, NL-3584 CB Utrecht, Netherlands.",j.m.wangu@uu.nl; ellen.mangnus@wur.nl; A.C.M.vanWesten@uu.nl,"Wangu, James/GLT-6214-2022","Wangu, James/0000-0001-5344-9512",Netherlands Organization for Scientific Research-NWO-WOTRO [W 08.250.206],Netherlands Organization for Scientific Research-NWO-WOTRO(Netherlands Organization for Scientific Research (NWO)),"This work was financed by the Netherlands Organization for Scientific Research-NWOWOTRO, (Grant number W 08.250.206). It is a part of the Follow the Food research project by Utrecht University and partners that assesses the contribution of inclusive agribusiness to local food security in Africa.",,84,0,0,1,10,MDPI,BASEL,"ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND",,2073-445X,,LAND-BASEL,Land,JUN,2021,10,6,,,,,,,572,10.3390/land10060572,http://dx.doi.org/10.3390/land10060572,,,16,Environmental Studies,Social Science Citation Index (SSCI),Environmental Sciences & Ecology,SY5GI,,"Green Published, gold",,,2023-10-16,WOS:000665915900001,View Full Record in Web of Science
J,"Grashuis, J",,,,"Grashuis, Jasper",,,Agricultural firm survival: The case of farmer cooperatives in the United States,AGRIBUSINESS,,,English,Article,,,,,,agricultural cooperative; collective action; firm behavior; firm exit; firm survival; proportional hazard model,PERFORMANCE-MEASUREMENT; MARKETING COOPERATIVES; FINANCIAL LEVERAGE; CONTROL RIGHTS; OWNERSHIP; COSTS; SIZE; CORPORATIONS; COMPETITION; MEMBERSHIP,"The number of farmer cooperatives in the United States is declining, but empirical investigations of cooperative firm survival have been scarce. With demographic, financial, and strategic characteristics as possible explanations, we conduct survival analysis in relation to 950 U.S. farmers cooperatives for the 2005-2018 period. Following the results of our Cox proportional hazard regressions, we find (a) relatively young and old farmer cooperatives are more susceptible to exit; (b) the relationship of membership size to the survival rate of farmer cooperatives is U-shaped; (c) farmer cooperatives with intangible asset portfolios have lower survival probabilities; and (d) the survival function of farmer cooperatives is not explained significantly by efficiency, leverage, or liquidity. Overall, we use our findings to inform recommendations in terms of cooperative firm behavior, in particular in relation to member heterogeneity and strategic orientation.","[Grashuis, Jasper] Univ Missouri, Div Appl Social Sci, Columbia, MO 65211 USA",University of Missouri System; University of Missouri Columbia,"Grashuis, J (corresponding author), Univ Missouri, 143C Mumford Hall, Columbia, MO 65211 USA.",grashuisj@missouri.edu,,"Grashuis, Jasper/0000-0002-5075-4439",,,,,60,10,10,6,53,WILEY,HOBOKEN,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0742-4477,1520-6297,,AGRIBUSINESS,Agribusiness,JAN,2020,36,1,,,,,79,93,,10.1002/agr.21612,http://dx.doi.org/10.1002/agr.21612,,JUN 2019,15,Agricultural Economics & Policy; Economics; Food Science & Technology,Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI),Agriculture; Business & Economics; Food Science & Technology,KB5GG,,,,,2023-10-16,WOS:000473883100001,View Full Record in Web of Science
J,"Daskalopoulou, I; Karakitsiou, A; Thomakis, Z; Parthymos, A",,,,"Daskalopoulou, Irene; Karakitsiou, Athanasia; Thomakis, Zafeirios; Parthymos, Alexandros",,,Assessing the cooperation propensity of social entrepreneurs: a multicriteria analysis of human factor effects,OPERATIONAL RESEARCH,,,English,Article,,,,,,Social entrepreneurship; Human capital; Ranking; MCDA; VIKOR,REGIONAL INNOVATION SYSTEMS; SMART SPECIALIZATION; NETWORKS; POLICY; GOVERNMENT; KNOWLEDGE; ECOSYSTEM; HELIX; VIKOR; PATH,"Social enterprises (SEs) hold a key innovation and development role owing to their focus on delivering the goals of the social economy sphere of action. The latter relates to social, economic, and political goods which fall into the failure locus of both the private markets and the public sector of the economy. As such SEs are considered a valuable and flexible instrument complementing the overall entrepreneurship and innovative initiatives of all economies. Here we test for the innovative and cooperation propensity of social entrepreneurs giving policy makers in the field an informative model of how to assess high impact SEs. We focus on the role of human factor (composition of human, social and psychological capital) and test for its effect using a dataset of 114 Greek social enterprises' members. The observed differences between the human factor variables that determine the innovative and cooperation propensity of agricultural cooperatives' members in contrast to social purpose enterprises' members illustrate the presence of different channels through which public sector-social actor cooperation in the filed might be built. Important insights for decision making in the field are provided.","[Daskalopoulou, Irene; Thomakis, Zafeirios; Parthymos, Alexandros] Univ Peloponnese, Dept Econ, Thesi Sechi Proin 4O Pedio Volis, Tripoli 22100, Greece; [Karakitsiou, Athanasia] Int Hellen Univ, Dept Business Adm, Terma Magnesia 62100, Serres, Greece",University of Peloponnese,"Karakitsiou, A (corresponding author), Int Hellen Univ, Dept Business Adm, Terma Magnesia 62100, Serres, Greece.",daskal@uop.gr; karakitsiou@ihu.gr; zthomakis@uop.gr; Alexis_moss@live.com,"Karakitsiou, Athanasia/IZE-2863-2023; Daskalopoulou, Irene/AGF-7584-2022","Daskalopoulou, Irene/0000-0001-7164-1532; Parthymos, Alexandros/0000-0002-6636-8364",,,,,58,0,0,4,7,SPRINGER HEIDELBERG,HEIDELBERG,"TIERGARTENSTRASSE 17, D-69121 HEIDELBERG, GERMANY",1109-2858,1866-1505,,OPER RES-GER,Oper. Res.,NOV,2022,22,5,,,,,5569,5595,,10.1007/s12351-022-00736-8,http://dx.doi.org/10.1007/s12351-022-00736-8,,AUG 2022,27,Operations Research & Management Science,Science Citation Index Expanded (SCI-EXPANDED),Operations Research & Management Science,5M4ZU,,,,,2023-10-16,WOS:000842013000001,View Full Record in Web of Science
J,"Hilliova, M; Hejkrlik, J; Mazancova, J; Tseren, T",,,,"Hilliova, Marketa; Hejkrlik, Jiri; Mazancova, Jana; Tseren, Tserendavaa",,,REACHING THE RURAL POOR THROUGH AGRICULTURAL COOPERATIVES IN MONGOLIA,ANNALS OF PUBLIC AND COOPERATIVE ECONOMICS,,,English,Article,,,,,,Subsidies; agricultural policy; inclusiveness,COLLECTIVE ACTION; MARKET ACCESS; SMALLHOLDERS,"This paper focuses on the cooperative sector in central Mongolia. Its aim is to provide new insights into the role and importance of cooperatives among poor rural populations. We analyse cooperatives' inclusiveness of smaller herders and farmers and cooperatives' governance structures. The research is based on data collected in selected provinces of the central Tov region. The data were collected for three distinctive target groups - cooperative board members, cooperative members and non-members. We found that the cooperative sector in Mongolia is strongly affected by the governmental policy regarding wool subsidies, which provides subsidies only to cooperative members and has consequently caused rapid growth in the number of new, free-riding cooperative members and led to very low levels of members' self-identification with their cooperatives. This policy also affects the inner organizational structures of cooperatives. Further, we found indications that poorer farmers tend not to be members of cooperatives and that the overall benefits for non-members and the general community arising from local cooperatives are rather low.","[Hilliova, Marketa; Hejkrlik, Jiri; Mazancova, Jana] Czech Univ Life Sci Prague, Prague, Czech Republic; [Tseren, Tserendavaa] Mongolian Univ Life Sci, Ulaanbaatar, Mongolia",Czech University of Life Sciences Prague; Mongolian University of Life Sciences,"Hejkrlik, J (corresponding author), Czech Univ Life Sci Prague, Prague, Czech Republic.",hejkrlik@ftz.czu.cz,"Tseren, Tserendavaa/AAB-3892-2021; Mazancová, Jana/AAK-2685-2020; Hejkrlik, Jiri/L-9689-2013","Tseren, Tserendavaa/0000-0001-5328-2521; Hejkrlik, Jiri/0000-0002-1337-5261; Mazancova, Jana/0000-0002-7735-5606",,,,,39,2,2,0,18,WILEY,HOBOKEN,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",1370-4788,1467-8292,,ANN PUBLIC COOP ECON,Ann. Public Coop. Econ.,SEP,2017,88,3,,,,,449,465,,10.1111/apce.12162,http://dx.doi.org/10.1111/apce.12162,,,17,Economics,Social Science Citation Index (SSCI),Business & Economics,FD6QL,,,,,2023-10-16,WOS:000407652900007,View Full Record in Web of Science
J,"Vozárová, IK; Kotulic, R; Vavrek, R",,,,"Vozarova, Ivana Kravcakova; Kotulic, Rastislav; Vavrek, Roman",,,Disparities in the financial performance of agricultural entities according to the legal form: the case of Slovakia,APPLIED ECONOMICS,,,English,Article,,,,,,Economic performance; ratio indicators; legal form; agricultural cooperatives; business companies,TECHNICAL EFFICIENCY; EU ACCESSION; DETERMINANTS; IMPACT; FARMS,"Financial management in agricultural enterprises is affected by a range of factors that are not present in other sectors. One of the factors that affect the performance of enterprises is the legal or organizational form of the business. In Slovakia, the specific structure of farms is different from that of almost any other member state of the European Union. The aim of this paper is to evaluate the disparities in the financial performance of agricultural enterprises according to the legal form. We analysed and compared two groups of agricultural entities, agricultural cooperatives and business companies, for the period from 2005 to 2014. Based on an analysis of the differences using mathematical and statistical methods, we can conclude that the legal forms are distinguished in all monitored parameters and our hypothesis on the differences in economic performance of agricultural entities according to legal form was confirmed.","[Vozarova, Ivana Kravcakova; Kotulic, Rastislav] Univ Presov, Fac Management, Dept Econ Sci & Econ, Konstantinova 16, Presov 08001, Slovakia; [Vavrek, Roman] Tech Univ Liberec, Fac Econ, Dept Informat, Liberec, Czech Republic",University of Presov; Technical University Liberec,"Vozárová, IK (corresponding author), Univ Presov, Fac Management, Dept Econ Sci & Econ, Konstantinova 16, Presov 08001, Slovakia.",vozarova.ivana@gmail.com,"Vavrek, Roman/I-4011-2015; Kotulic, Rastislav/A-9127-2013; Vozárová, Ivana Krav?áková/AAD-2908-2020","Vavrek, Roman/0000-0002-6047-9434; Kotulic, Rastislav/0000-0002-8341-3016; Vozárová, Ivana Krav?áková/0000-0002-3056-5294","Cultural and Educational Grant Agency of the Ministry of Education, Science, Research and Sport of the Slovak Republic [KEGA 011PU-4/2019]; Scientific Grant Agency of the Ministry of Education, Science, Research and Sport of the Slovak Republic; Slovak Academy of Sciences [VEGA 1/0578/18, VEGA 1/0082/19]; OP VVV - INTERNATIONAL MOBILITIES OF RESEARCHERS AT THE TUL [CZ.02.2.69/0.0/0.0/16_027/0008493]","Cultural and Educational Grant Agency of the Ministry of Education, Science, Research and Sport of the Slovak Republic; Scientific Grant Agency of the Ministry of Education, Science, Research and Sport of the Slovak Republic; Slovak Academy of Sciences(Slovak Academy of Sciences); OP VVV - INTERNATIONAL MOBILITIES OF RESEARCHERS AT THE TUL","This paper is supported by The Cultural and Educational Grant Agency of the Ministry of Education, Science, Research and Sport of the Slovak Republic under Grant (KEGA 011PU-4/2019 -,Implementation of environmental education and research into the teaching of management courses in the study program management), and by The Scientific Grant Agency of the Ministry of Education, Science, Research and Sport of the Slovak Republic and the Slovak Academy of Sciences under Grant (VEGA 1/0578/18 -, A modification of the methodologies for the sustainable development assessment; VEGA 1/0082/19 -,Management of the food industry enterprises in the SR in the context of impacts of the globalization and integration tendencies). This work was also supported by the OP VVV - INTERNATIONAL MOBILITIES OF RESEARCHERS AT THE TUL[CZ.02.2.69/0.0/0.0/16_027/0008493].",,24,6,6,1,25,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",ABINGDON,"2-4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXON, ENGLAND",0003-6846,1466-4283,,APPL ECON,Appl. Econ.,DEC 2,2019,51,56,,,,,5999,6008,,10.1080/00036846.2019.1645285,http://dx.doi.org/10.1080/00036846.2019.1645285,,JUL 2019,10,Economics,Social Science Citation Index (SSCI),Business & Economics,IZ4IH,,,,,2023-10-16,WOS:000478548900001,View Full Record in Web of Science
