key,title,authors,journal,issn,volume,issue,pages,year,publisher,url,abstract,notes,doi,keywords
,the key performance indicators of the czech cooperatives,"Mikus, P; Suchánek, P","POLITICAL SCIENCES, LAW, FINANCE, ECONOMICS AND TOURISM, VOL II",2367-5659,,,391-398,2014,STEF92 TECHNOLOGY LTD,,"Rural entrepreneurship in the developing world has long been hailed as a powerful tool for promoting the socioeconomic integration of young people and the key to avoiding rural depopulation as well as ensuring these areas remain attractive places for rural youth. However, there have been no efforts to investigate the role of collective entrepreneurship in the creation and management of new businesses in Morocco. Furthermore, we build on the theory of planned behavior (TPB) to investigate and explain entrepreneurial intention among the rural youth members of agricultural cooperatives, and identify the vulnerabilities and factors that influence the choice or decision-making between permanent membership at the cooperative and an entrepreneurial career. In this case, we apply the cognitive approach to survey rural youth in the Draa-Tafilalet region of Morocco in 2020. The binary logistic regression analysis technique has been used and applied to build the best model to explain why some rural youth members of the cooperative, but not others, choose to become entrepreneurs. We model how agricultural cooperatives may favor or inhibit the translation of entrepreneurial intention into new venture creation. A random sample size of 130 young people has been selected, from which 54 are intending to start a business and 76 have a negative intention of self-employment. The results of the analysis showed that socio-demographic variables, individual perceptions, previous experience, and the activities of the cooperative were statistically significant and reliable in building the binary logistic regression model. Findings also suggest that the risks of agribusiness and financing constraints have a negative influence on entrepreneurial intentions of the youth and women in agricultural cooperatives.",,,debt ratio; quick ratio; cooperative; ROA
,"smartphone use, off-farm employment, and women's decision-making power: evidence from rural china","Zheng, HY; Zhou, YW; Rahut, DB",REVIEW OF DEVELOPMENT ECONOMICS,1363-6669,27,3,1327-1353,2023,WILEY,http://dx.doi.org/10.1111/rode.12966,"This paper uses descriptive statistics of various financial key performance indicators to depicture the situation of the sample of 200 Czech production and agriculture cooperatives from year 2006 to 2010 when financial crisis stroke. The sample is segmented using the area of operations and the setting of the decision making rules, as the then Czech commercial code (valid 1991-2013) was dispositive legal norm. Among the indicators belong ROA, Quick ratio, debt ratio and dynamics of assets.",,10.1111/rode.12966,off-farm employment; rural China; smartphone use; women's decision-making power
,the factors influence high technology adoption of agricultural cooperatives in vietnam,"Quang, HV; Hien, PV; Song, NV",JOURNAL OF LAW AND POLITICAL SCIENCES,2222-7288,34,3,352-375,2022,AL-BAYADER-AL-RAWNAQ NEIGHBORHOOD,,"Empowering women is an important goal of the United Nations' Sustainable Development Goals, and studies have proposed various strategies to achieve this goal. However, few have examined the role of smartphone use in empowering women in decision-making and its mechanism. Therefore, this study analyzes how smartphone use affects women's decision-making power and explores whether this influence is due to women's off-farm employment mechanisms. For this purpose, the study uses the survey data of 1110 households in rural China and the endogenous treatment regression model for analysis. The control function approach addresses the selection bias of off-farm employment. The results show that smartphone use significantly increases women's decision-making power, partially channeled through increasing women's off-farm employment. The mechanism effect is robust to using both binary and intensive measurements of off-farm employment. Therefore, a policy to improve access to internet facilities and smartphone use could improve women's decision-making power through employment in the off-farm sector.",,,Agricultural cooperative; high technology; impacting factors; Logit model
,talking about the shortcomings and coping strategies of china's agricultural cooperatives,"An, HL","2012 INTERNATIONAL CONFERENCE ON EDUCATION REFORM AND MANAGEMENT INNOVATION (ERMI 2012), VOL 3",,,,219-223,2013,"INFORMATION ENGINEERING RESEARCH INST, USA",,"High technology application in agricultural cooperatives is encouraged by Government of Vietnam. Although increased in number, but percentage of agricultural applying high-tech is still low. This study has as objective to quantify the factors impacting probability of high-tech application of agricultural cooperatives in Vietnam. Based on survey data from 206 cooperatives in 2021, the study result of Logit model finds the factors that have statistically significant and highly positive impact as educational level of cooperative's leader, existence of contract farming between cooperative and enterprises, and public support. Asset value of cooperative also has positive, but little impact on high-tech application. On the other hand, number of cooperative members has opposite impact on high-tech application of cooperatives.",,,Professional agricultural cooperatives; Modes of operation; Coping strategies
,the financial and social efficiency of rural cooperatives in south africa,"Yobe, CL; Ferrer, SRD; Mudhara, M",AFRICAN JOURNAL OF SCIENCE TECHNOLOGY INNOVATION & DEVELOPMENT,2042-1338,14,2,546-555,2022,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",http://dx.doi.org/10.1080/20421338.2020.1866146,"The 12th Five-Year Plan clearly nurtures the diversified agricultural social service organizations, and supports the farmers' specialized cooperative organizations, supply and marketing cooperatives, farmer's brokers, leading enterprises to provide various forms of production and management services. In the professional cooperatives era of market economy, to increase farmers' income, improve the overall quality of farmers to promote agriculture in the modern development of effective organizational forms. However, the co-operatives in the development process also exposed many problems; the paper mainly analyzes the problem of farmers' professional cooperatives in the development process as well as the countermeasures.",,10.1080/20421338.2020.1866146,agricultural cooperatives; data envelopment analysis; financial efficiency; fractional response model; social efficiency; South Africa
,how strengthening vertical coordination may lead to restructuring of macrohierarchies,"Bijman, J; Chaddad, FR; Cook, ML",DYNAMICS IN CHAINS AND NETWORKS,,,,252-261,2004,WAGENINGEN ACADEMIC PUBLISHERS,,"Identifying the type of organization for achieving social efficiency for agricultural development remains a challenge. In this study, the relationship between the financial and social efficiency of South African agricultural cooperatives was examined. Data, comprising 1788 agricultural cooperatives, were obtained from the Cooperative Data Analysis System database. Only 387 observations without missing values were predicted in the empirical model. Data envelopment analysis scores for the financial and social efficiency indicators were computed. A two-stage residual inclusion method estimated the social efficiency model. The results show that social efficiency is positively influenced by financial efficiency and other factors. These include the number of employees, the enterprise type, and compliance with internal control practices. The social efficiency of agricultural cooperatives decreases for institutions that have recently been trained and that comply with the annual financial audits and profit tax. Social efficiency also decreases with age, but it increases with the square of the agricultural cooperative's age. This suggests that financially-efficient agricultural cooperatives may achieve social efficiency, that young agricultural cooperatives are not the ideal candidates for addressing the social efficiency challenges of agricultural cooperatives, and that the current training received by agricultural cooperatives does not empower them with social efficiency.",,,agricultural cooperative; restructuring; interdependencies
,can diversification explain financial performance in agribusiness co-operatives?,"Martins, FS; Lucato, WC; Da Silva, D",BRITISH FOOD JOURNAL,0007-070X,121,2,546-560,2019,EMERALD GROUP PUBLISHING LTD,http://dx.doi.org/10.1108/BFJ-03-2018-0156,"Enhancing efficiency and increasing customer responsiveness often require restructuring of the agrifood chain. Improved vertical coordination can be obtained by reducing the number of autonomous decision-making stages in the chain. An example is the transformation of federated cooperatives into primary cooperatives. This paper develops several propositions on this transformation process, using economic organization and political economy theories. We present a first application of the theoretical framework to recently restructured federated cooperatives in The Netherlands.",,10.1108/BFJ-03-2018-0156,Finance; Co-operatives; Diversification; Agricultural products
,"examining commitment, heterogeneity and social capital within the membership base of agricultural co-operatives-a conceptual framework","Apparao, D; Garnevska, E; Shadbolt, N",JOURNAL OF CO-OPERATIVE ORGANIZATION AND MANAGEMENT,2213-297X,7,1,42-50,2019,ELSEVIER SCIENCE BV,http://dx.doi.org/10.1016/j.jcom.2019.03.003,"Purpose The purpose of this paper is to integrate Brazilian agro-industrial co-operatives' horizontal, lateral and vertical integration diversification and expansion strategies, such as operation area and membership, with financial models. Several studies have tried to assess the importance of diversification on the financial outcomes in agricultural co-operatives with limited success. Design/methodology/approach The three main concepts were combined in a working model. A survey was developed to gather data on financial, diversification and expansion strategies from 67 co-operatives (44 per cent return rate). Data were processed using a partial least squares structural equation model. Findings The findings suggest that expansion is directly responsible for both the financial output and diversification strategy; however, no hard evidence supports the view that the diversification of production in some agro-industrial co-operatives leads to positive financial results. Research limitations/implications Only larger Brazilian co-operatives (>$50m in annual revenues) were considered. Co-operatives facing other scenarios or smaller co-operatives could have different outcomes. Practical implications Besides diversifying their co-operatives for financial reasons, managers should also consider risk aversion and adapting to new farmers' portfolios as probable reasons. Originality/value Extant literature asserts that diversification leads to financial growth; as the co-operatives studied show no such causal relationship, it follows that they diversify their portfolios for other purposes.",,10.1016/j.jcom.2019.03.003,Co-operatives; Agriculture; Commitment; Heterogeneity; Social Capital; Membership; Performance; Governance; Strategy; Organisational behavior
,factors hindering the development of agricultural cooperatives in georgia,"Sanikidze, H",ECONOMICS ECOLOGY SOCIUM,2616-7107,5,3,29-38,2021,Dr. Viktor Koval,http://dx.doi.org/10.31520/2616-7107/2021.5.3-4,"Although purely economic (conventional) reasons play a significant role in the development and performance of (agricultural) cooperatives; so do other (non-conventional) factors. A comprehensive assessment of co-operatives therefore requires an examination of non-conventional factors, in addition to the conventional factors. Three such non-conventional factors identified in the literature are 1) commitment, 2) heterogeneity and 3) social capital. Commitment is important for agricultural co-operatives because one pre-requisite for successful agricultural co-operatives is that farmer-members are willing to supply the co-operative with raw products, capital and managerial inputs. In this research affective, continuance, normative and other aspects of member commitment are examined. Heterogeneity is an important source of concern for co-operatives due to its impact on cohesiveness and collective decision making. This study used characteristics associated with the farmer-member and the farm-business to examine heterogeneity. It has been suggested that the social capital paradigm is the common denominator for all explanations and theories on co-operative formation and development. A modified version of the six dimensions' framework used by the World Bank to assess social capital was used in this study. Based on this theoretical underpinning, a Three Dimensional Conceptual Framework, that encapsulates commitment, heterogeneity and social capital is developed and described.",,10.31520/2616-7107/2021.5.3-4,agricultural cooperative; developmental barriers; impact-urgency-priority matrix
,cooperative or uncooperative cooperatives?: digging into the process of cooperation in food and agriculture cooperatives,"Hale, J; Carolan, M",JOURNAL OF AGRICULTURE FOOD SYSTEMS AND COMMUNITY DEVELOPMENT,2152-0798,8,1,113-132,2018,LYSON CENTER CIVIC AGRICULTURE & FOOD SYSTEMS,http://dx.doi.org/10.5304/jafscd.2018.081.011,"Introduction. The lack of an appropriate methodological basis for creating agricultural cooperative system prevents the process of organizing formation of new agricultural cooperatives, which leads to an objective need to develop the organizational and economic basis for the formation and operation of agricultural cooperatives. In this regard, the research and study of theoretical aspects, analysis of objective conditions for the formation and operation of agricultural cooperatives, development of methodological provisions and practical recommendations to substantiate their organizational and economic mechanism, including matters of management, profit, price, credit, formation and distribution are topical to the issue and most of the components listed above are of great practical importance. Aim and tasks. The aim of the research is to develop scientific, organizational and economic basis for the establishment and operation of agricultural cooperatives in a multistructural economy. The objectives of the research are: identifying the essence of the cooperative, adding several principles to the formation and classification of agricultural cooperatives, determining the conditions and factors necessary for their creation. Results. Theoretical and regulatory aspects of formation and development of agricultural cooperatives were specified taking into account the introduction of new principles for their operation: mandatory creation of indivisible funds for innovative activities, agricultural producers' interest and expediency for their participation in the associations; and classification of cooperatives in the production and service industries. Conclusions. Based on consideration of the integrated approach to the formation of cooperatives and farmers' organizations, necessary documentation and calculation of economic efficiency, the methodological provisions developed in the process of the research on the establishment and operation of agricultural cooperatives will allow agricultural producers to approach the formation of necessary cooperatives skillfully, easily determine the absolute and specific tax burden of agricultural cooperatives.",,10.5304/jafscd.2018.081.011,Cooperative; Decision-making; Leadership; Emotions; Alternative Food Networks; Community Capitals
,member commitment in agricultural cooperatives: evidence from ethiopia,"Awoke, HM",COGENT BUSINESS & MANAGEMENT,2331-1975,8,1,-,2021,TAYLOR & FRANCIS AS,http://dx.doi.org/10.1080/23311975.2021.1968730,"Cooperative organizing around food and agriculture is nothing new (Knupfer, 2013). However, there has been a recent resurgence of interest in the cooperative legal form. This research has followed this rebirth in a region in the western United States where rural producers and urban consumers, gentrifying communities of color, and environmentally minded communities strive to improve other communities and food futures. As part of these efforts, it can be easy to assume cooperation within a legal status. Yet, as this research examines, cooperatives can be quite uncooperative in practice. Through extensive field work, we found that food and agriculture cooperatives struggle to make decision-making inclusive, may reproduce inequities through leadership performance, and may unevenly distribute the emotional work necessary to cooperation. These patterns also relate to how cooperatives access resources and point to tensions in expanding networks. While homogeneity can make interactions smoother-thereby making trust and day-to-day activities easier-it also limits a cooperative's (co-op) resource access. Resource access can be improved through partnerships, such as with nonprofits. However, these connections can lead to certain leadership performances that delegitimize cooperative efforts from the perspective of structurally disadvantaged community members. Further, the anonymity that consumers have become accustomed to creates challenges for recruiting shoppers because co-ops take more emotional work. A disproportionate amount of emotional work falls on staff members, contributing to resentment and insincere performance. We make a number of suggestions about how cooperatives can work to improve both organizational and interactional forms of cooperation.",,10.1080/23311975.2021.1968730,agricultural cooperative; member commitment; loyalty; identity; participation; Ethiopia
,member preference heterogeneity and system-lifeworld dichotomy in cooperatives an exploratory case study,"Iliopoulos, C; Valentinov, V",JOURNAL OF ORGANIZATIONAL CHANGE MANAGEMENT,0953-4814,30,7,1063-1080,2017,EMERALD GROUP PUBLISHING LTD,http://dx.doi.org/10.1108/JOCM-12-2016-0262,"Member commitment is essential for the efficiency and survival of member-based economic organizations like agricultural cooperatives. In Ethiopia, cooperatives are considered as important vehicles for linking smallholder farmers to markets and for rural development more generally. However, member commitment in cooperatives is not self-evident. Different scholars confirm that there is a decline in commitment of members to their cooperative. Consequently, it is important to identify what factors drive this decline to enhance member commitment and promote the performance of cooperatives. Thus, this paper seeks to explore the determinants of member commitment. Our empirical analysis is based on a 2014 survey among 240 members of agricultural cooperatives in Ethiopia. This paper makes two contributions to the academic body of knowledge on member commitment in agricultural cooperatives. First, it distinguishes between three elements of commitment: loyalty, identification and participation. By exploring the determinants of each element of commitment, we obtain a much richer picture of what drives members. Second, we make a distinction between multipurpose cooperatives and specialized marketing cooperatives. The study has important implications for policy makers, government and stakeholders of cooperatives for devising appropriate interventions that could enhance the commitment of members in agricultural cooperatives.",,10.1108/JOCM-12-2016-0262,Greece; Systems; Collective action; Risk; Governance; Ownership
,identifying strategies for adapting agricultural cooperatives to learning organization in iran: application of swot and sem models,"Kiani, E; Noorivandi, AN; Ommani, AR; Maghsoodi, T",JOURNAL OF AGRICULTURAL SCIENCE AND TECHNOLOGY,1680-7073,23,6,1225-1238,2021,TARBIAT MODARES UNIV,,"Purpose - The purpose of this paper is to shed new light on the issue of preference heterogeneity in cooperatives. Design/methodology/approach - Drawing on the ideas of Habermas and Luhmann, this paper interprets preference heterogeneity of cooperative members in terms of the precarious relationship between the categories of system and lifeworld. The argument is buttressed with a case study of an agricultural cooperative recently founded in Central Greece. Findings - The sensitivity of cooperatives to the lifeworld contexts of their members exacts the price in the form of the member preference heterogeneity problem. If this sensitivity is taken to be the constitutive characteristic of cooperatives, then the proposed argument hammers home their fundamental ambivalence, as they are necessarily fraught with the potential for internal conflict. Research limitations/implications - The paper urges for a radical rethinking of Georg Draheim's thesis of the double nature of cooperatives. Double nature is shown to aggravate the member preference heterogeneity problem. Practical implications - The results of this study inform the cooperative leaders' quest to strike a balance between the interests of their members and the demands of the external socio-economic environment. Originality/value - This research contributes significantly to the literature on collective decision-making costs incurred by cooperatives. The failure of cooperatives to balance the sensitivity to members' interests and to the external environment is exposed as the root cause of the divergence and heterogeneity of member preferences. This heterogeneity is shown to boost collective decision-making costs.",,,Structural Equation Modeling; SWOT model
,influence of institutional framework on economic activity of agricultural cooperatives: latvia's case,"Feldmane, L; Zvirbule, A",ECONOMIC SCIENCE FOR RURAL DEVELOPMENT 2020,1691-3078,53,,39-47,2020,LATVIA UNIV LIFE SCIENCES & TECHNOLOGIES,http://dx.doi.org/10.22616/ESRD.2020.53.004,"The main purpose of this study was to identify strategies for adapting agricultural cooperatives to learning organization. Agricultural cooperatives are business organizations that fully examine all the economic, democratic and social dimensions of poverty reduction in rural areas simultaneously. This research is an exploratory research that was conducted in two parts: qualitative and quantitative. In the qualitative section, by holding several meetings with experts and through the method of brainstorming, the opportunities, threats, strengths and weaknesses for the adapting of the agricultural cooperative organization to learning organization were identified. Then, using the SWOT model, strategies and action plan were identified for adapting the cooperative organization to the learning organization. Also, in the quantitative part of the research that was conducted among the members of the cooperatives, through Structural Equation Modeling (SEM), the role of the identified strategies was evaluated and the designed model was approved. Based on the results, the predictive positive effect of identified strategies include: SO1 (beta= 0.73, t-Value = 4.23, P< 0.001), SO2 (beta = 0.79, t-Value = 4.71, P<0.001), SO3 (beta= 0.81, t-Value = 5.08, P< 0.001) and SO4 (beta = 0.82, t-Value = 4.97, P<0.001) on Adapting Cooperatives to the Learning Organization (ACLO). The findings showed that (R-2 = 0.69) the identified strategies determined 69% of the variance in the ACLO.",,10.22616/ESRD.2020.53.004,agricultural cooperatives; Latvia; theory of cooperatives; legislation
,managerial vision bias and cooperative governance,"Deng, WD; Hendrikse, GWJ",EUROPEAN REVIEW OF AGRICULTURAL ECONOMICS,0165-1587,42,5,797-828,2015,OXFORD UNIV PRESS,http://dx.doi.org/10.1093/erae/jbv017,"Given the important role of agricultural cooperatives in strengthening competitiveness and market power of farmers in the food chain, it is essential to understand the competitiveness of their own economic activities. The purpose of this article is to summarise the institutional base affecting agricultural cooperation to assess its impact on the economic activity. To reach the goal, the normative documents that affect the agricultural co-operation directly were gathered and studied, and certain institutional obstacles and problems affecting the cooperation of economic activity were highlighted. At the end, conclusions on the institutional framework for economic activity of agricultural cooperatives in Latvia and suggestions on the legislative changes needed to improve the competitiveness of agricultural cooperatives are offered.",,10.1093/erae/jbv017,vision bias; cooperatives; governance
,a study on the determinants of financial performance of us agricultural cooperatives,"Singh, K; Misra, M; Kumar, M; Tiwari, V",JOURNAL OF BUSINESS ECONOMICS AND MANAGEMENT,1611-1699,20,4,633-647,2019,VILNIUS GEDIMINAS TECH UNIV,http://dx.doi.org/10.3846/jbem.2019.9858,"What causes firms to behave the way they do when they face different investment opportunities? We argue that both people and processes are behind the decision-making of project implementation. Member and professional CEOs of cooperatives differ regarding their managerial vision towards upstream and downstream projects. Cooperatives with member CEOs are upstream focused and it is reflected by the cascading effect of negative vision bias towards downstream projects. When downstream activities become more important, cooperatives need to replace the member CEOs with professional CEOs. However, a cooperative with a professional CEO may still be in a disadvantageous position if the member-dominated Board of Directors' negative bias towards downstream projects is too strong, which may result in an investor owned firm being the efficient governance structure.",,10.3846/jbem.2019.9858,agricultural cooperatives; financial performance; economic policy uncertainty; return on asset (ROA); United States (US); capital intensity
,the guidelines fot strenghtening agricultural cooperatives in the asean region,"Jukrkorn, N",CBU INTERNATIONAL CONFERENCE PROCEEDINGS 2017: INNOVATIONS IN SCIENCE AND EDUCATION,1805-997X,5,,204-210,2017,CENTRAL BOHEMIA UNIV,http://dx.doi.org/10.12955/cbup.v5.926,"A significant number of studies have been made in the area of agricultural economics; however, there is a paucity of work that investigates factors or determinants which influence the financial performance of agro cooperatives. This paper investigates determinants of financial performance for the United States (U.S.) agricultural cooperatives for the period 2009-2017. By using the United States Department of Agriculture (USDA) database, we created a sample of 37 U.S. agro cooperatives. For analysis, we used panel regression analysis as it is suitable to deal with fixed effect or random effect error component presented in the model. Finding states that the U.S. agro cooperatives are found highly sensitive to economic policy uncertainty. The results provide evidence of a negative relationship between size and profitability. Moreover, the impact of growth and capital intensity is also reflected in the return on asset (ROA). In this study, we considered ROA as a proxy for firm performance. Implications and suggestions for further new research are also discussed.",,10.12955/cbup.v5.926,Agricultural Cooperatives; Strengthening Model; ASEAN
