authors,title,source_title,issn,doi,year,base,journal_title,h_index,avaliador,situacao
Ayilu R.K.; Nyiawung R.A.,illuminating informal crossborder trade in processed small pelagic fish in west africa,maritime studies,18727859,10.1007/s40152-022-00284-z,2022,scopus,Maritime Studies,24,Davi,
Ngango J.,does womens empowerment improve yields and income evidence from rice farmers in rwanda,asian journal of agriculture and rural development,23041455,10.55493/5005.v12i3.4602,2022,scopus,Asian Journal of Agriculture and Rural Development,6,Davi,
Feyeh F.,local cooperatives´ contribution to realising a green economy in nature parks in luxembourg,parks,0960233X,10.2305/IUCN.CH.2022.PARKS-28-2FF.en,2022,scopus,Parks,20,Davi,
Bailey C.; Sokolowski M.,lender financial reporting incentives and loan prioritization during the paycheck protection program,managerial finance,3074358,10.1108/MF-11-2021-0530,2022,scopus,Managerial Finance,45,Davi,
Sonvanee O.P.; Nightingale Devi B.; Sharma S.; Mohale H.P.,synthesis of fisheries business success models under public and private sector in chhattisgarh india,economic affairs (new delhi),4242513,10.46852/0424-2513.2.2022.13,2022,scopus,Economic Affairs (New Delhi),2,Davi,
Zheng X.,the coordination of multistage discounts in a dual channel fresh agricultural produce supply chain minimizing the loss of quantity and quality,sustainability (switzerland),20711050,10.3390/su14042174,2022,scopus,Sustainability,136,Davi,
Uddin M.E.; Pervez A.K.M.K.; Gao Q.,effect of voluntary cooperativisation on livelihood capital of smallholder dairy farmers in the southwest of bangladesh,geojournal,3432521,10.1007/s10708-020-10218-z,2022,scopus,Geo Journal,77,Davi,
Onyeneke R.U.; Amadi M.U.; Njoku C.L.,climate change adaptation strategies by rice processors in ebonyi state nigeria,ekologia bratislava,1335342X,10.2478/eko-2022-0029,2022,scopus,Ekologia Bratislava,24,Davi,
Purmiyati A.; Handoyo R.D.; Wisudanto,technical efficiency analysis management factor as determinants of saving and credit cooperatives health,journal of co-operative organization and management,2213297X,10.1016/j.jcom.2022.100186,2022,scopus,Journal of Co-operative Organization and Management,17,Davi,
Shirima V.,critical success factors for the better performance of agricultural marketing cooperative societies in rombo district tanzania are members aware of them,cogent business and management,23311975,10.1080/23311975.2022.2144703,2022,scopus,Cogent Business and Management,32,Davi,
Adžić S.,a millennium of peace and development without wars in human history vinča culture,peace review,10402659,10.1080/10402659.2022.2115290,2022,scopus,Peace Review,18,Davi,
Lee S.-H.; Kang H.-J.; Lee S.-Y.,the influence of board diversity and board conflict on performance in consumer cooperatives in south korea,journal of entrepreneurial and organizational diversity,22818642,10.5947/jeod.2022.003,2022,scopus,Journal of Entrepreneurial and Organizational Diversity,2,Davi,
Tetyana N.,cooperation of financial institutions and facilities of nature reserve fund basic economytheoretic aspects,economic alternatives,13127462,10.37075/EA.2022.2.04,2022,scopus,Economic Alternatives,2,Davi,
Mashange G.; Featherstone A.M.; Briggeman B.C.,evaluating changes in credit rating quality of us farmer cooperatives,journal of co-operative organization and management,2213297X,10.1016/j.jcom.2021.100153,2022,scopus,Journal of Co-operative Organization and Management,17,Davi,
Brushwood J.D.; Hall C.M.; Lusch S.J.,credit unions and earnings management to mitigate political scrutiny over taxexempt status,journal of accounting and public policy,2784254,10.1016/j.jaccpubpol.2021.106907,2022,scopus,Journal of Accounting and Public Policy,86,Davi,
Canassa B.J.; de Moura Costa D.R.; Bonacim C.A.G.,transformations in the ownership structure of credit unions banking service rates and the expectations of members and directors transformações na estrutura de propriedade em cooperativas de crédito taxas de serviços bancários e expectativas de membros e diretores,brazilian business review,18082386,10.15728/bbr.2022.19.6.2.pt,2022,scopus,Brazilian Business Review,8,Davi,
Garcia-Alvarez-Coque J.-M.; Piñeiro V.,using collective farming to improve farm structures and drive generational renewal in spainle recours à lagriculture collective pour améliorer les structures agricoles et stimuler le renouvellement générationnel en espagnekollektive landwirtschaft zur verbesserung der landwirtschaftlichen strukturen und zur förderung des generationswechsels in spanien,eurochoices,14780917,10.1111/1746-692X.12361,2022,scopus,EuroChoices,19,Davi,
Alotaibi B.A.; Kassem H.S.,analysis of partnerships between agricultural cooperatives and development actors a national survey in saudi arabia,plos one,19326203,10.1371/journal.pone.0270574,2022,scopus,PLoS ONE,404,Davi,
Silva T.B.J.; Beuren I.M.; Monteiro J.J.; Lavarda C.E.F.,strategic behavior and the use of management control systems in agroindustrial cooperatives comportamento estratégico e uso dos sistemas de controle gerencial em cooperativas agroindustriais,revista brasileira de gestao de negocios,18064892,10.7819/rbgn.v24i1.4138,2022,scopus,Revista Brasileira de Gestao de Negocios,17,Davi,
Ronaghi M.,effects of covid19 on irans livestock and meat market,journal of agricultural science and technology,16807073,NA,2022,scopus,Journal of Agricultural Science and Technology,39,Davi,
Lu W.-Z.; Lee Z.-R.,generic authority structures and the emergence of credit unions evidence from indigenous communities in taiwan generische autoritätsstrukturen und das entstehen von kreditgenossenschaften beweise aus indigenen gemeinschaften in taiwan las estructuras genéricas de autoridad y la emergencia de cooperativas de crédito pruebas de la existencia de comunidades indígenas en taiwán,revue francaise de sociologie,352969,NA,2022,scopus,Revue Francaise de Sociologie,35,Davi,
Gerasymenko A.; Ozhelevskaya T.; Lebedeva L.; Moskalenko O.,agricultural service cooperatives in ukraine institutional development drivers сільськогосподарська обслуговуюча кооперація в україні інституційні драйвери розвитку,scientific horizons,26632144,10.48077/scihor.25(6).2022.89-99,2022,scopus,Scientific Horizons,6,Davi,
Kumar D.; Thakur C.L.; Bhardwaj D.R.; Sharma N.; Sharma P.; Sankhyan N.,biodiversity conservation and carbon storage of acacia catechu willd dominated northern tropical dry deciduous forest ecosystems in northwestern himalaya implications of different forest management regimes,frontiers in environmental science,2296665X,10.3389/fenvs.2022.981608,2022,scopus,Frontiers in Environmental Science,61,Davi,
Pliakoura A.P.; Beligiannis G.; Kontogeorgos A.,significant barriers to the adoption of the agricultural cooperative model of entrepreneurship a literature review,international journal of social economics,3068293,10.1108/IJSE-10-2020-0710,2022,scopus,International Journal of Social Economics,44,Davi,
Mugizi F.M.P.,stronger together shocks educational investment and selfhelp groups in tanzania,journal of social and economic development,9725792,10.1007/s40847-022-00183-3,2022,scopus,NA,NA,Davi,
Jusoh Y.H.M.; Razak S.N.A.A.; Noor W.N.B.W.M.; Hudayati A.; Puspaningsih A.; Nadzri F.A.A.,audit committee characteristics and timeliness of financial reporting social enterprises evidence,contemporary economics,20840845,10.5709/ce.1897-9254.478,2022,scopus,Contemporary Economics,19,Davi,
Ahado S.; Chkhvirkia L.; Hejkrlik J.,is the success of rural cooperatives conditioned by the group characteristics and their value chain evidence from new farmer groups in georgia,european journal of development research,9578811,10.1057/s41287-021-00382-4,2022,scopus,European Journal of Development Research,56,Davi,
Da Cruz A.P.C.; Frare A.B.; Accadrolli M.C.; Horz V.,effects of informal controls and psychological empowerment on job satisfaction,revista contabilidade e financas,15197077,10.1590/1808-057x202114660,2022,scopus,Revista Contabilidade e Financas,10,Davi,
Vercher N.,territorial social innovation and alternative food networks the case of a new farmers cooperative on the island of ibiza spain,agriculture (switzerland),20770472,10.3390/agriculture12060748,2022,scopus,Agriculture (Switzerland),52,Davi,
Minah M.,what is the influence of government programs on farmer organizations and their impacts evidence from zambia,annals of public and cooperative economics,13704788,10.1111/apce.12316,2022,scopus,Annals of Public and Cooperative Economics,42,Davi,
Pariz M.C.; Carvalho C.M.F.; Rebelo P.C.A.; Colmenero J.C.,treatment of the uncertainties in prioritization of information technology projects a hybrid multicriteria approach,journal of multi-criteria decision analysis,10579214,10.1002/mcda.1777,2022,scopus,Journal of Multi-Criteria Decision Analysis,52,Davi,
Dimas B.; Lyne M.; Bailey A.,identifying and addressing institutional problems constraining the financial performance of rice cooperatives in the philippines,asian journal of agriculture and rural development,23041455,10.55493/5005.v12i3.4527,2022,scopus,Asian Journal of Agriculture and Rural Development,6,Davi,
Barry I.; Rousselière D.,do quality incentive payments improve cooperative performance the case of small french agricultural cooperatives,journal of agricultural economics,0021857X,10.1111/1477-9552.12475,2022,scopus,Journal of Agricultural Economics,70,Davi,
Ho T.D.N.; Kuwornu J.K.M.; Tsusaka T.W.,factors influencing smallholder rice farmers vulnerability to climate change and variability in the mekong delta region of vietnam,european journal of development research,9578811,10.1057/s41287-021-00371-7,2022,scopus,European Journal of Development Research,56,Davi,
Gebre G.G.; Fikadu A.A.; Gebeyehu T.K.,is banana value chain in east africa sustainable evidence from ethiopia,"resources, environment and sustainability",26669161,10.1016/j.resenv.2022.100060,2022,scopus,"Resources, Environment and Sustainability",14,Davi,
Qian X.; Olsen T.L.,contractual coordination of agricultural marketing cooperatives with quality provisions,manufacturing and service operations management,15234614,10.1287/msom.2022.1151,2022,scopus,Manufacturing and Service Operations Management,102,Davi,
Boussios D.; Preckel P.V.; Yigezu Y.A.; Dixit P.; Rekik M.; Hilali M.E.D.; Wamatu J.; Haile A.; Shakhatreh Y.,agricultural resource and risk management with multiperiod stochastics a case of the mixed croplivestock production system in the drylands of jordan,frontiers in environmental science,2296665X,10.3389/fenvs.2022.986816,2022,scopus,Frontiers in Environmental Science,61,Davi,
Towo N.N.; Ishengoma E.; Mori N.,relationship lending and financial performance of savings and credit cooperative societies in tanzania,african journal of economic and management studies,20400705,10.1108/AJEMS-03-2021-0139,2022,scopus,African Journal of Economic and Management Studies,24,Davi,
Shen Y.; Wang J.; Wang L.; Wu B.; Ye X.; Han Y.; Wang R.; Chandio A.A.,how do cooperatives alleviate poverty of farmers evidence from rural china,land,2073445X,10.3390/land11101836,2022,scopus,Land,42,Davi,
Nadolnyak D.; Hartarska V.,nontraditional lenders and access to local agricultural credit markets by beginning and female farmers,agricultural finance review,21466,10.1108/AFR-06-2021-0073,2022,scopus,Agricultural Finance Review,31,Davi,
Ma L.; Dou H.; Wu S.; Shi Z.; Li Z.,rural development pressure and threestay response a case of jinchang city in the hexi corridor china,journal of rural studies,7430167,10.1016/j.jrurstud.2022.03.002,2022,scopus,Journal of Rural Studies,124,Davi,
Hrynevych O.; Canto M.B.; García M.J.,tendencies of precision agriculture in ukraine disruptive smart farming tools as cooperation drivers,agriculture (switzerland),20770472,10.3390/agriculture12050698,2022,scopus,Agriculture (Switzerland),52,Davi,
Il’inykh V.,socialist modernization of agriculture projects and implementation,herald of the russian academy of sciences,10193316,10.1134/S1019331622090039,2022,scopus,Herald of the Russian Academy of Sciences,17,Davi,
Holmes E.A.; Campbell M.F.; Betz R.,what we raise ourselves growing food sovereignty in the mississippi delta,"journal of agriculture, food systems, and community development",21520801,10.5304/jafscd.2022.112.019,2022,scopus,NA,NA,Davi,
Franken J.R.V.; Cook M.L.; Pennings J.M.E.,producer risk aversion and participation in agricultural cooperatives,journal of co-operative organization and management,2213297X,10.1016/j.jcom.2022.100171,2022,scopus,Journal of Co-operative Organization and Management,17,Davi,
Opalo V.W.,credible risk private credit bureaus and the work of loan officers in west africa,africa,19720,10.1017/S0001972022000353,2022,scopus,Africa,49,Davi,
Cima O.; Sovová L.,the end of postsocialism as we knew it diverse economies and the east,progress in human geography,3091325,10.1177/03091325221127295,2022,scopus,Progress in Human Geography,168,Davi,
Zheng X.-X.; Guo J.; Jia F.; Zhang S.,cooperative game theory approach to develop an incentive mechanism for biopesticide adoption through farmer producer organizations,journal of environmental management,3014797,10.1016/j.jenvman.2022.115696,2022,scopus,Journal of Environmental Management,218,Davi,
Wang J.; Huo Y.; Guo X.; Xu Y.,the pricing strategy of the agricultural product supply chain with farmer cooperatives as the core enterprise,agriculture (switzerland),20770472,10.3390/agriculture12050732,2022,scopus,Agriculture (Switzerland),52,Davi,
van Rijn J.,the cooperative identity at us credit unions,journal of co-operative organization and management,2213297X,10.1016/j.jcom.2021.100152,2022,scopus,Journal of Co-operative Organization and Management,17,Davi,
Tůma L.; Kumhálová J.; Kumhála F.; Krepl V.,the noisereduction potential of radar vegetation index for crop management in the czech republic,precision agriculture,13852256,10.1007/s11119-021-09844-5,2022,scopus,Precision Agriculture,79,Davi,
Lemus A.; Rojas C.,credit unions in chile and their role in financial inclusion contribucion a la inclusion financiera de las cooperativas de ahorro y credito en chile,revista de analisis economico,7165927,10.4067/s0718-88702022000100075,2022,scopus,Revista de Analisis Economico,7,Davi,
Yildirim M.; Everest B.,adaptation to sustainable energy use a case study on agricultural cooperatives,kuwait journal of science,23074108,10.48129/kjs.11833,2022,scopus,Kuwait Journal of Science,17,Davi,
Pingale V.; Singh N.,potential of dairy industry with special reference to generating employment in india,indian journal of labour economics,9717927,10.1007/s41027-022-00369-7,2022,scopus,NA,NA,Davi,
Damilola Kehinde A.,access to trade credit and its impact on the use of european union eu approved pesticides among smallholder cocoa farmers in ondo state nigeria,heliyon,24058440,10.1016/j.heliyon.2022.e12409,2022,scopus,Heliyon,69,Davi,
Mannes S.; Beuren I.M.; da Silva E.S.,cooperative behavior and knowledge sharing interaction of risk management,revista brasileira de gestao de negocios,18064892,10.7819/rbgn.v24i4.4203,2022,scopus,Revista Brasileira de Gestao de Negocios,17,Davi,
Lai S.,cooperative militarization agricultural reform and the us occupation of okinawa,pacific historical review,308684,10.1525/phr.2022.91.1.33,2022,scopus,Pacific Historical Review,22,Davi,
Untari D.W.; Vellema S.,are collective trading organisations necessarily inclusive of smallholder farmers a comparative analysis of farmerled auctions in the javanese chilli market,journal of agricultural and environmental ethics,11877863,10.1007/s10806-022-09891-6,2022,scopus,Journal of Agricultural and Environmental Ethics,56,Davi,
von der Osten F.L.; Toaldo A.M.,marketings take on socioeconomic performance,marketing intelligence and planning,2634503,10.1108/MIP-02-2022-0067,2022,scopus,Marketing Intelligence and Planning,80,Davi,
Huang Z.,village governance of migrant farmers evidence from a case study in rural china,lex localis,15815374,10.4335/20.3.501-518(2022),2022,scopus,Lex Localis,17,Davi,
Gong M.; Elahi E.,a nexus between farmland rights and access demand and amount of agricultural loan under the socialist system of china,land use policy,2648377,10.1016/j.landusepol.2022.106279,2022,scopus,Land Use Policy,138,Davi,
Djan K.O.; Mersland R.,are ngos and cooperatives similar or different a global survey using microfinance data,journal of management and governance,13853457,10.1007/s10997-021-09567-9,2022,scopus,Journal of Management and Governance,57,Davi,
Francesconi G.N.; Wouterse F.,the potential of land shareholding cooperatives for inclusive agribusiness development in africa,annals of public and cooperative economics,13704788,10.1111/apce.12314,2022,scopus,Annals of Public and Cooperative Economics,42,Davi,
Gbigbi T.M.; Ndubuokwu G.O.,determinants of agricultural insurance patronage among crop farmers in delta north agricultural zone delta state nigeria,journal of agriculture faculty of ege university,10188851,10.20289/zfdergi.883004,2022,scopus,NA,NA,Davi,
Anh T.T.,factors affecting members satisfaction with hightech agriculture cooperatives in vietnams northern key economic region fatores que afetam a satisfação dos membros com as cooperativas agrícolas de alta tecnologia na região econômica chave do norte do vietnamita factores que influyen en la satisfacción de los socios con las cooperativas agrícolas de alta tecnología de la región económica clave del norte de vietnam,international journal of professional business review,25253654,10.26668/businessreview/2022.v7i5.735,2022,scopus,International Journal of Professional Business Review,4,Davi,
Ademilua V.A.; Lasisi T.T.; Ogunmokun O.A.; Ikhide J.E.,accounting for the effects of entrepreneurial orientation on smes job creation capabilities a social capital and selfdetermination perspective,journal of public affairs,14723891,10.1002/pa.2413,2022,scopus,Journal of Public Affairs,33,Davi,
Mashange G.; Briggeman B.C.,assessing the financial condition and accounts receivable risk among us farmer cooperatives,agricultural finance review,21466,10.1108/AFR-06-2021-0080,2022,scopus,Agricultural Finance Review,31,Davi,
Gómez-Biscarri J.; López-Espinosa G.; Mesa-Toro A.,drivers of depositor discipline in credit unions,annals of public and cooperative economics,13704788,10.1111/apce.12352,2022,scopus,Annals of Public and Cooperative Economics,42,Davi,
Omar A.R.C.; Ishak S.; Othman A.S.; Sum S.M.,exploring the catalyst and constraint factors of agriculture cooperative performance,international journal of business and society,15116670,10.33736/ijbs.4626.2022,2022,scopus,International Journal of Business and Society,21,Davi,
Ghauri S.; Jackson E.L.; Marinova D.; Mohammadi H.,agricultural cooperatives for managing natural capital to achieve un sustainable development goals 1215 a conceptual framework,journal of co-operative organization and management,2213297X,10.1016/j.jcom.2022.100188,2022,scopus,Journal of Co-operative Organization and Management,17,Davi,
Back B.; Santos T.L.P.; Martins V.A.,the use of performance evaluation models from the perspective of the gecon and the balanced scorecard case study in an agroindustrial cooperative,custos e agronegocio,18082882,NA,2022,scopus,Custos e Agronegocio,11,Davi,
da Silva F.F.; Baggio D.K.; Santos D.F.L.,governance and performance model for agricultural cooperatives modelo de governança e desempenho para cooperativas agropecuárias modelo de gobernanza y desempeño para las cooperativas agrícolas,estudios gerenciales,1235923,10.18046/j.estger.2022.165.5238,2022,scopus,Estudios Gerenciales,18,Davi,
De Herde V.; Segers Y.; Maréchal K.; Baret P.V.,lockins to transition pathways anchored in contextualized cooperative dynamics insights from the historical trajectories of the walloon dairy cooperatives,journal of rural studies,7430167,10.1016/j.jrurstud.2022.04.003,2022,scopus,Journal of Rural Studies,124,Davi,
Ada E.; Sagnak M.; Uzel R.A.; Balcıoğlu İ.,analysis of barriers to circularity for agricultural cooperatives in the digitalization era,international journal of productivity and performance management,17410401,10.1108/IJPPM-12-2020-0689,2022,scopus,International Journal of Productivity and Performance Management,71,Davi,
Alimohammad M.; Farajallah Hosseini S.J.; Mirdamadi S.M.; Dehyouri S.,collaborative networking among agricultural production cooperatives in iran,heliyon,24058440,10.1016/j.heliyon.2022.e11846,2022,scopus,Heliyon,69,Davi,
He H.; Wang S.; Tuo S.; Du J.,analysis of the effect of rural tourism in promoting farmers income and its influencing factorsbased on survey data from hanzhong in southern shaanxi,sustainability (switzerland),20711050,10.3390/su14031289,2022,scopus,Sustainability,136,Davi,
Liang Q.; Dong H.; Bailey A.R.; Hu W.; Jiai F.,exploring multiple drivers of cooperative governance a paired case comparison of vegetable growing cooperatives in the uk and china,international food and agribusiness management review,15592448,10.22434/IFAMR2020.0175,2022,scopus,International Food and Agribusiness Management Review,42,Davi,
López A.M.C.; Martínez A.R.; Soto A.L.R.,incentivos y riesgos fiscales y laborales de las sociedades cooperativas de producción en méxico incentivos y riesgos fiscales y laborales de las sociedades cooperativas de producción en méxico,"ciriec-espana revista de economia publica, social y cooperativa",2138093,10.7203/CIRIEC-E.106.19415,2022,scopus,NA,13,Davi,
Bukhtiarova A.; Semenog A.; Mordan Y.; Kremen V.; Balatskyi Y.,modeling the dynamic patterns of banking and nonbanking financial intermediaries performance,banks and bank systems,18167403,10.21511/bbs.17(1).2022.05,2022,scopus,Banks and Bank Systems,19,Davi,
Canassa B.J.; de Moura Costa D.R.; Bonacim C.A.G.,transformations in the ownership structure of credit unions banking service rates and the expectations of members and directors,brazilian business review,18082386,10.15728/BBR.2021.19.6.2.EN,2022,scopus,Brazilian Business Review,8,Davi,
Lago A.; dos Santos Amorim G.; Boscardin M.; Zucatto L.C.; Spanevello R.M.,analyzing decisionmaking factors in the generational succession of rural youth,journal of co-operative organization and management,2213297X,10.1016/j.jcom.2022.100187,2022,scopus,Journal of Co-operative Organization and Management,17,Davi,
Pigeon M.-A.J.,an uncommon commons governments role in constituting an unusual credit union deposit insurance scheme,international journal of the commons,18750281,10.5334/ijc.1192,2022,scopus,International Journal of the Commons,33,Davi,
Debebe S.,postharvest losses of crops and its determinants in ethiopia tobit model analysis,agriculture and food security,20487010,10.1186/s40066-022-00357-6,2022,scopus,Agriculture and Food Security,38,Davi,
Kumkit T.; Gan C.; Anh D.L.T.; Hu B.,enhancing governance practice for better performance of credit union cooperatives in thailand,international social science journal,208701,10.1111/issj.12366,2022,scopus,International Social Science Journal,48,Davi,
Wairimu E.; Mburu J.; Ndambi A.; Gachuiri C.,factors affecting adoption of technical organisational and institutional dairy innovations in selected milksheds in kenya,agrekon,3031853,10.1080/03031853.2022.2090972,2022,scopus,Agrekon,30,Davi,
Santosa A.; Dwiarti R.; Hudin N.S.,developing cooperative based traditional market management in sleman regency indonesia,quality - access to success,15822559,10.47750/QAS/23.189.38,2022,scopus,Quality - Access to Success,24,Davi,
Kotsios P.; Pappa A.,intercooperation barriers and prospects among olive oil cooperatives in the island of crete,agricultural economics review,11092580,NA,2022,scopus,Agricultural Economics Review,13,Davi,
Velandia M.; Trejo-Pech C.; Rodríguez-Padrón B.; Servín-Juárez R.; Stripling C.,challenges and managerial strategies of coffee cooperatives from the huatusco region in mexico the perspective of leaders,agrociencia,14053195,10.47163/agrociencia.v56i8.2741,2022,scopus,Agrociencia,26,Davi,
Grander G.; da Silva M.L.; da Silva L.F.; Del Rosario Santibanez Gonzalez E.,classification of portfolio and project managers a performance orientation,journal of modern project management,23173963,10.19255/JMPM02801,2022,scopus,Journal of Modern Project Management,12,Davi,
Hoffman R.C.,producer cooperatives of the knights of labor seeking worker independence,labor history,0023656X,10.1080/0023656X.2022.2109009,2022,scopus,Labor History,23,Davi,
Almutairi A.R.,earnings management and the role of mosal in coops,journal of co-operative organization and management,2213297X,10.1016/j.jcom.2021.100131,2021,scopus,Journal of Co-operative Organization and Management,17,Davi,
Aghabarari L.; Guettler A.; Naeem M.; Van Doornik B.,is there help indeed if there is help in need the case of credit unions during the global financial crisis,economic inquiry,952583,10.1111/ecin.12982,2021,scopus,Economic Inquiry,82,Davi,
Martínez M.R.; Ibáñez P.C.; Campillo J.P.,la predicción del fracaso empresarial de las cooperativas españolas aplicación del algoritmo extreme gradient boosting,"ciriec-espana revista de economia publica, social y cooperativa",19896816,10.7203/CIRIEC-E.101.15572,2021,scopus,"CIRIEC-Espana Revista de Economia Publica, Social y Cooperativa",13,Davi,
Li J.; He R.; deVoil P.; Wan S.,enhancing the application of organic fertilisers by members of agricultural cooperatives,journal of environmental management,3014797,10.1016/j.jenvman.2021.112901,2021,scopus,Journal of Environmental Management,218,Davi,
Makoye E.B.; Larsen M.N.; Kuzilwa J.A.,tobacco farming and the reconfiguration of cooperatives in tanzania,journal of southern african studies,3057070,10.1080/03057070.2022.2053418,2022,scopus,Journal of Southern African Studies,53,Davi,
Blekking J.; Gatti N.; Waldman K.; Evans T.; Baylis K.,the benefits and limitations of agricultural input cooperatives in zambia,world development,0305750X,10.1016/j.worlddev.2021.105616,2021,scopus,World Development,206,Davi,
Gomez-Biscarri J.; López-Espinosa G.; Mesa-Toro A.,the risk implications of the business loan activity in credit unions,journal of financial stability,15723089,10.1016/j.jfs.2021.100932,2021,scopus,Journal of Financial Stability,64,Davi,
Li H.; Liu Y.; Zhao X.; Zhang L.; Yuan K.,estimating effects of cooperative membership on farmers safe production behaviors evidence from the rice sector in china,environmental science and pollution research,9441344,10.1007/s11356-020-12337-z,2021,scopus,Environmental Science and Pollution Research,154,Davi,
Parrilla-González J.A.; Ortega-Alonso D.,dimensions of social innovation in agricultural cooperatives a model applied to the spanish olive oil industry,new medit,15945685,10.30682/NM2103H,2021,scopus,New Medit,23,Davi,
Abafe E.A.; Oduniyi O.S.; Tekana S.S.,quantitative analysis of farmers perception of the constraints to sunflower production a transverse study approach using hierarchical logistic model hlm,sustainability (switzerland),20711050,10.3390/su132313331,2021,scopus,Sustainability,136,Davi,
Patmore G.; Balnave N.; Marjanovic O.,resistance is not futile cooperatives demutualization agriculture and neoliberalism in australia,business and politics,13695258,10.1017/bap.2021.10,2021,scopus,Business and Politics,36,Davi,
Olujimi J.; Rotowa O.; Fasina T.; Ojo B.; Bello M.,the willingness of cooperative societies to sponsor house ownership in akure nigeria,heliyon,24058440,10.1016/j.heliyon.2021.e06950,2021,scopus,Heliyon,69,Davi,
Barcelos S.M.B.D.; Salvador R.; Barros M.V.; de Francisco A.C.; Guedes G.,circularity of brazilian silk promoting a circular bioeconomy in the production of silk cocoons,journal of environmental management,3014797,10.1016/j.jenvman.2021.113373,2021,scopus,Journal of Environmental Management,218,Davi,
Nilsson J.,agricultural cooperative development and institutional change swedish examples from 1990 to 2020,international journal on food system dynamics,18696945,10.18461/ijfsd.v13i2.B1,2022,scopus,International Journal on Food System Dynamics,21,Davi,
Pipíšková P.; Muchová Z.; Dežerický D.,map based information support system on land use case of horná nitra slovakia,journal of ecological engineering,22998993,10.12911/22998993/145327,2022,scopus,Journal of Ecological Engineering,26,Davi,
Zantsi S.,why do agricultural cooperatives fail to attract youth and create rural employment evidence from a case study of zanokhanyo in butterworth eastern cape,south african journal of agricultural extension,0301603X,10.17159/2413-3221/2021/v49n1a10785,2021,scopus,NA,not,Davi,
Liang C.; Xingqing Y.; Ma J.,can ecommerce improve the profitability of agricultural cooperatives ar e prekyba gali pagerinti žemės ūkio kooperatyvų pelningumą,transformations in business and economics,16484460,NA,2021,scopus,Transformations in Business and Economics,26,Davi,
Tortia E.; Troisi R.,the resilience and adaptative strategies of italian cooperatives during the covid19 pandemic,foresight and sti governance,25002597,10.17323/2500-2597.2021.4.78.88,2021,scopus,NA,NA,Davi,
Dower B.; Gaddis J.,relative to the landscape producer cooperatives in native food sovereignty initiatives,journal of co-operative organization and management,2213297X,10.1016/j.jcom.2021.100147,2021,scopus,Journal of Co-operative Organization and Management,17,Davi,
Skydan O.; Budnik O.; Sus L.,the role of agroholdings in the creation of cooperatives by rural communities,agricultural and resource economics,2414584X,10.51599/are.2021.07.03.07,2021,scopus,Agricultural and Resource Economics,5,Davi,
Yu H.; Tong X.,producer vs local government the locational strategy for endoflife photovoltaic modules recycling in zhejiang province,"resources, conservation and recycling",9213449,10.1016/j.resconrec.2021.105484,2021,scopus,"Resources, Conservation and Recycling",170,Davi,
