authors,title,source_title,issn,doi,year,base
Canassa B.J.; de Moura Costa D.R.; Bonacim C.A.G.,transformations in the ownership structure of credit unions banking service rates and the expectations of members and directors transformações na estrutura de propriedade em cooperativas de crédito taxas de serviços bancários e expectativas de membros e diretores,Brazilian Business Review,18082386,10.15728/bbr.2022.19.6.2.pt,2022,scopus
Garcia-Alvarez-Coque J.-M.; Piñeiro V.,using collective farming to improve farm structures and drive generational renewal in spainle recours à lagriculture collective pour améliorer les structures agricoles et stimuler le renouvellement générationnel en espagnekollektive landwirtschaft zur verbesserung der landwirtschaftlichen strukturen und zur förderung des generationswechsels in spanien,EuroChoices,14780917,10.1111/1746-692X.12361,2022,scopus
Alotaibi B.A.; Kassem H.S.,analysis of partnerships between agricultural cooperatives and development actors a national survey in saudi arabia,PLoS ONE,19326203,10.1371/journal.pone.0270574,2022,scopus
Silva T.B.J.; Beuren I.M.; Monteiro J.J.; Lavarda C.E.F.,strategic behavior and the use of management control systems in agroindustrial cooperatives comportamento estratégico e uso dos sistemas de controle gerencial em cooperativas agroindustriais,Revista Brasileira de Gestao de Negocios,18064892,10.7819/rbgn.v24i1.4138,2022,scopus
Ronaghi M.,effects of covid19 on irans livestock and meat market,Journal of Agricultural Science and Technology,16807073,,2022,scopus
Lu W.-Z.; Lee Z.-R.,generic authority structures and the emergence of credit unions evidence from indigenous communities in taiwan generische autoritätsstrukturen und das entstehen von kreditgenossenschaften beweise aus indigenen gemeinschaften in taiwan las estructuras genéricas de autoridad y la emergencia de cooperativas de crédito pruebas de la existencia de comunidades indígenas en taiwán,Revue Francaise de Sociologie,00352969,,2022,scopus
Gerasymenko A.; Ozhelevskaya T.; Lebedeva L.; Moskalenko O.,agricultural service cooperatives in ukraine institutional development drivers сільськогосподарська обслуговуюча кооперація в україні інституційні драйвери розвитку,Scientific Horizons,26632144,10.48077/scihor.25(6).2022.89-99,2022,scopus
Kumar D.; Thakur C.L.; Bhardwaj D.R.; Sharma N.; Sharma P.; Sankhyan N.,biodiversity conservation and carbon storage of acacia catechu willd dominated northern tropical dry deciduous forest ecosystems in northwestern himalaya implications of different forest management regimes,Frontiers in Environmental Science,2296665X,10.3389/fenvs.2022.981608,2022,scopus
Pliakoura A.P.; Beligiannis G.; Kontogeorgos A.,significant barriers to the adoption of the agricultural cooperative model of entrepreneurship a literature review,International Journal of Social Economics,03068293,10.1108/IJSE-10-2020-0710,2022,scopus
Mugizi F.M.P.,stronger together shocks educational investment and selfhelp groups in tanzania,Journal of Social and Economic Development,09725792,10.1007/s40847-022-00183-3,2022,scopus
Jusoh Y.H.M.; Razak S.N.A.A.; Noor W.N.B.W.M.; Hudayati A.; Puspaningsih A.; Nadzri F.A.A.,audit committee characteristics and timeliness of financial reporting social enterprises evidence,Contemporary Economics,20840845,10.5709/ce.1897-9254.478,2022,scopus
Ahado S.; Chkhvirkia L.; Hejkrlik J.,is the success of rural cooperatives conditioned by the group characteristics and their value chain evidence from new farmer groups in georgia,European Journal of Development Research,09578811,10.1057/s41287-021-00382-4,2022,scopus
Da Cruz A.P.C.; Frare A.B.; Accadrolli M.C.; Horz V.,effects of informal controls and psychological empowerment on job satisfaction,Revista Contabilidade e Financas,15197077,10.1590/1808-057x202114660,2022,scopus
Vercher N.,territorial social innovation and alternative food networks the case of a new farmers cooperative on the island of ibiza spain,Agriculture (Switzerland),20770472,10.3390/agriculture12060748,2022,scopus
Minah M.,what is the influence of government programs on farmer organizations and their impacts evidence from zambia,Annals of Public and Cooperative Economics,13704788,10.1111/apce.12316,2022,scopus
Pariz M.C.; Carvalho C.M.F.; Rebelo P.C.A.; Colmenero J.C.,treatment of the uncertainties in prioritization of information technology projects a hybrid multicriteria approach,Journal of Multi-Criteria Decision Analysis,10579214,10.1002/mcda.1777,2022,scopus
Dimas B.; Lyne M.; Bailey A.,identifying and addressing institutional problems constraining the financial performance of rice cooperatives in the philippines,Asian Journal of Agriculture and Rural Development,23041455,10.55493/5005.v12i3.4527,2022,scopus
Barry I.; Rousselière D.,do quality incentive payments improve cooperative performance the case of small french agricultural cooperatives,Journal of Agricultural Economics,0021857X,10.1111/1477-9552.12475,2022,scopus
Ho T.D.N.; Kuwornu J.K.M.; Tsusaka T.W.,factors influencing smallholder rice farmers vulnerability to climate change and variability in the mekong delta region of vietnam,European Journal of Development Research,09578811,10.1057/s41287-021-00371-7,2022,scopus
Gebre G.G.; Fikadu A.A.; Gebeyehu T.K.,is banana value chain in east africa sustainable evidence from ethiopia,"Resources, Environment and Sustainability",26669161,10.1016/j.resenv.2022.100060,2022,scopus
Qian X.; Olsen T.L.,contractual coordination of agricultural marketing cooperatives with quality provisions,Manufacturing and Service Operations Management,15234614,10.1287/msom.2022.1151,2022,scopus
Boussios D.; Preckel P.V.; Yigezu Y.A.; Dixit P.; Rekik M.; Hilali M.E.D.; Wamatu J.; Haile A.; Shakhatreh Y.,agricultural resource and risk management with multiperiod stochastics a case of the mixed croplivestock production system in the drylands of jordan,Frontiers in Environmental Science,2296665X,10.3389/fenvs.2022.986816,2022,scopus
Towo N.N.; Ishengoma E.; Mori N.,relationship lending and financial performance of savings and credit cooperative societies in tanzania,African Journal of Economic and Management Studies,20400705,10.1108/AJEMS-03-2021-0139,2022,scopus
Shen Y.; Wang J.; Wang L.; Wu B.; Ye X.; Han Y.; Wang R.; Chandio A.A.,how do cooperatives alleviate poverty of farmers evidence from rural china,Land,2073445X,10.3390/land11101836,2022,scopus
Nadolnyak D.; Hartarska V.,nontraditional lenders and access to local agricultural credit markets by beginning and female farmers,Agricultural Finance Review,00021466,10.1108/AFR-06-2021-0073,2022,scopus
Ma L.; Dou H.; Wu S.; Shi Z.; Li Z.,rural development pressure and threestay response a case of jinchang city in the hexi corridor china,Journal of Rural Studies,07430167,10.1016/j.jrurstud.2022.03.002,2022,scopus
Hrynevych O.; Canto M.B.; García M.J.,tendencies of precision agriculture in ukraine disruptive smart farming tools as cooperation drivers,Agriculture (Switzerland),20770472,10.3390/agriculture12050698,2022,scopus
Il’inykh V.,socialist modernization of agriculture projects and implementation,Herald of the Russian Academy of Sciences,10193316,10.1134/S1019331622090039,2022,scopus
Holmes E.A.; Campbell M.F.; Betz R.,what we raise ourselves growing food sovereignty in the mississippi delta,"Journal of Agriculture, Food Systems, and Community Development",21520801,10.5304/jafscd.2022.112.019,2022,scopus
Franken J.R.V.; Cook M.L.; Pennings J.M.E.,producer risk aversion and participation in agricultural cooperatives,Journal of Co-operative Organization and Management,2213297X,10.1016/j.jcom.2022.100171,2022,scopus
Opalo V.W.,credible risk private credit bureaus and the work of loan officers in west africa,Africa,00019720,10.1017/S0001972022000353,2022,scopus
Cima O.; Sovová L.,the end of postsocialism as we knew it diverse economies and the east,Progress in Human Geography,03091325,10.1177/03091325221127295,2022,scopus
Zheng X.-X.; Guo J.; Jia F.; Zhang S.,cooperative game theory approach to develop an incentive mechanism for biopesticide adoption through farmer producer organizations,Journal of Environmental Management,03014797,10.1016/j.jenvman.2022.115696,2022,scopus
Wang J.; Huo Y.; Guo X.; Xu Y.,the pricing strategy of the agricultural product supply chain with farmer cooperatives as the core enterprise,Agriculture (Switzerland),20770472,10.3390/agriculture12050732,2022,scopus
van Rijn J.,the cooperative identity at us credit unions,Journal of Co-operative Organization and Management,2213297X,10.1016/j.jcom.2021.100152,2022,scopus
Tůma L.; Kumhálová J.; Kumhála F.; Krepl V.,the noisereduction potential of radar vegetation index for crop management in the czech republic,Precision Agriculture,13852256,10.1007/s11119-021-09844-5,2022,scopus
Lemus A.; Rojas C.,credit unions in chile and their role in financial inclusion contribucion a la inclusion financiera de las cooperativas de ahorro y credito en chile,Revista de Analisis Economico,07165927,10.4067/s0718-88702022000100075,2022,scopus
Yildirim M.; Everest B.,adaptation to sustainable energy use a case study on agricultural cooperatives,Kuwait Journal of Science,23074108,10.48129/kjs.11833,2022,scopus
Pingale V.; Singh N.,potential of dairy industry with special reference to generating employment in india,Indian Journal of Labour Economics,09717927,10.1007/s41027-022-00369-7,2022,scopus
Damilola Kehinde A.,access to trade credit and its impact on the use of european union eu approved pesticides among smallholder cocoa farmers in ondo state nigeria,Heliyon,24058440,10.1016/j.heliyon.2022.e12409,2022,scopus
Mannes S.; Beuren I.M.; da Silva E.S.,cooperative behavior and knowledge sharing interaction of risk management,Revista Brasileira de Gestao de Negocios,18064892,10.7819/rbgn.v24i4.4203,2022,scopus
Lai S.,cooperative militarization agricultural reform and the us occupation of okinawa,Pacific Historical Review,00308684,10.1525/phr.2022.91.1.33,2022,scopus
Untari D.W.; Vellema S.,are collective trading organisations necessarily inclusive of smallholder farmers a comparative analysis of farmerled auctions in the javanese chilli market,Journal of Agricultural and Environmental Ethics,11877863,10.1007/s10806-022-09891-6,2022,scopus
von der Osten F.L.; Toaldo A.M.,marketings take on socioeconomic performance,Marketing Intelligence and Planning,02634503,10.1108/MIP-02-2022-0067,2022,scopus
Huang Z.,village governance of migrant farmers evidence from a case study in rural china,Lex Localis,15815374,10.4335/20.3.501-518(2022),2022,scopus
Gong M.; Elahi E.,a nexus between farmland rights and access demand and amount of agricultural loan under the socialist system of china,Land Use Policy,02648377,10.1016/j.landusepol.2022.106279,2022,scopus
Djan K.O.; Mersland R.,are ngos and cooperatives similar or different a global survey using microfinance data,Journal of Management and Governance,13853457,10.1007/s10997-021-09567-9,2022,scopus
Francesconi G.N.; Wouterse F.,the potential of land shareholding cooperatives for inclusive agribusiness development in africa,Annals of Public and Cooperative Economics,13704788,10.1111/apce.12314,2022,scopus
Gbigbi T.M.; Ndubuokwu G.O.,determinants of agricultural insurance patronage among crop farmers in delta north agricultural zone delta state nigeria,Journal of Agriculture Faculty of Ege University,10188851,10.20289/zfdergi.883004,2022,scopus
Anh T.T.,factors affecting members satisfaction with hightech agriculture cooperatives in vietnams northern key economic region fatores que afetam a satisfação dos membros com as cooperativas agrícolas de alta tecnologia na região econômica chave do norte do vietnamita factores que influyen en la satisfacción de los socios con las cooperativas agrícolas de alta tecnología de la región económica clave del norte de vietnam,International Journal of Professional Business Review,25253654,10.26668/businessreview/2022.v7i5.735,2022,scopus
Ademilua V.A.; Lasisi T.T.; Ogunmokun O.A.; Ikhide J.E.,accounting for the effects of entrepreneurial orientation on smes job creation capabilities a social capital and selfdetermination perspective,Journal of Public Affairs,14723891,10.1002/pa.2413,2022,scopus
Mashange G.; Briggeman B.C.,assessing the financial condition and accounts receivable risk among us farmer cooperatives,Agricultural Finance Review,00021466,10.1108/AFR-06-2021-0080,2022,scopus
Gómez-Biscarri J.; López-Espinosa G.; Mesa-Toro A.,drivers of depositor discipline in credit unions,Annals of Public and Cooperative Economics,13704788,10.1111/apce.12352,2022,scopus
Omar A.R.C.; Ishak S.; Othman A.S.; Sum S.M.,exploring the catalyst and constraint factors of agriculture cooperative performance,International Journal of Business and Society,15116670,10.33736/ijbs.4626.2022,2022,scopus
Ghauri S.; Jackson E.L.; Marinova D.; Mohammadi H.,agricultural cooperatives for managing natural capital to achieve un sustainable development goals 1215 a conceptual framework,Journal of Co-operative Organization and Management,2213297X,10.1016/j.jcom.2022.100188,2022,scopus
Back B.; Santos T.L.P.; Martins V.A.,the use of performance evaluation models from the perspective of the gecon and the balanced scorecard case study in an agroindustrial cooperative,Custos e Agronegocio,18082882,,2022,scopus
da Silva F.F.; Baggio D.K.; Santos D.F.L.,governance and performance model for agricultural cooperatives modelo de governança e desempenho para cooperativas agropecuárias modelo de gobernanza y desempeño para las cooperativas agrícolas,Estudios Gerenciales,01235923,10.18046/j.estger.2022.165.5238,2022,scopus
De Herde V.; Segers Y.; Maréchal K.; Baret P.V.,lockins to transition pathways anchored in contextualized cooperative dynamics insights from the historical trajectories of the walloon dairy cooperatives,Journal of Rural Studies,07430167,10.1016/j.jrurstud.2022.04.003,2022,scopus
Ada E.; Sagnak M.; Uzel R.A.; Balcıoğlu İ.,analysis of barriers to circularity for agricultural cooperatives in the digitalization era,International Journal of Productivity and Performance Management,17410401,10.1108/IJPPM-12-2020-0689,2022,scopus
Alimohammad M.; Farajallah Hosseini S.J.; Mirdamadi S.M.; Dehyouri S.,collaborative networking among agricultural production cooperatives in iran,Heliyon,24058440,10.1016/j.heliyon.2022.e11846,2022,scopus
He H.; Wang S.; Tuo S.; Du J.,analysis of the effect of rural tourism in promoting farmers income and its influencing factorsbased on survey data from hanzhong in southern shaanxi,Sustainability (Switzerland),20711050,10.3390/su14031289,2022,scopus
Liang Q.; Dong H.; Bailey A.R.; Hu W.; Jiai F.,exploring multiple drivers of cooperative governance a paired case comparison of vegetable growing cooperatives in the uk and china,International Food and Agribusiness Management Review,15592448,10.22434/IFAMR2020.0175,2022,scopus
López A.M.C.; Martínez A.R.; Soto A.L.R.,incentivos y riesgos fiscales y laborales de las sociedades cooperativas de producción en méxico incentivos y riesgos fiscales y laborales de las sociedades cooperativas de producción en méxico,"CIRIEC-Espana Revista de Economia Publica, Social y Cooperativa",02138093,10.7203/CIRIEC-E.106.19415,2022,scopus
Bukhtiarova A.; Semenog A.; Mordan Y.; Kremen V.; Balatskyi Y.,modeling the dynamic patterns of banking and nonbanking financial intermediaries performance,Banks and Bank Systems,18167403,10.21511/bbs.17(1).2022.05,2022,scopus
Canassa B.J.; de Moura Costa D.R.; Bonacim C.A.G.,transformations in the ownership structure of credit unions banking service rates and the expectations of members and directors,Brazilian Business Review,18082386,10.15728/BBR.2021.19.6.2.EN,2022,scopus
Lago A.; dos Santos Amorim G.; Boscardin M.; Zucatto L.C.; Spanevello R.M.,analyzing decisionmaking factors in the generational succession of rural youth,Journal of Co-operative Organization and Management,2213297X,10.1016/j.jcom.2022.100187,2022,scopus
Pigeon M.-A.J.,an uncommon commons governments role in constituting an unusual credit union deposit insurance scheme,International Journal of the Commons,18750281,10.5334/ijc.1192,2022,scopus
Debebe S.,postharvest losses of crops and its determinants in ethiopia tobit model analysis,Agriculture and Food Security,20487010,10.1186/s40066-022-00357-6,2022,scopus
Kumkit T.; Gan C.; Anh D.L.T.; Hu B.,enhancing governance practice for better performance of credit union cooperatives in thailand,International Social Science Journal,00208701,10.1111/issj.12366,2022,scopus
Wairimu E.; Mburu J.; Ndambi A.; Gachuiri C.,factors affecting adoption of technical organisational and institutional dairy innovations in selected milksheds in kenya,Agrekon,03031853,10.1080/03031853.2022.2090972,2022,scopus
Santosa A.; Dwiarti R.; Hudin N.S.,developing cooperative based traditional market management in sleman regency indonesia,Quality - Access to Success,15822559,10.47750/QAS/23.189.38,2022,scopus
Kotsios P.; Pappa A.,intercooperation barriers and prospects among olive oil cooperatives in the island of crete,Agricultural Economics Review,11092580,,2022,scopus
Velandia M.; Trejo-Pech C.; Rodríguez-Padrón B.; Servín-Juárez R.; Stripling C.,challenges and managerial strategies of coffee cooperatives from the huatusco region in mexico the perspective of leaders,Agrociencia,14053195,10.47163/agrociencia.v56i8.2741,2022,scopus
Grander G.; da Silva M.L.; da Silva L.F.; Del Rosario Santibanez Gonzalez E.,classification of portfolio and project managers a performance orientation,Journal of Modern Project Management,23173963,10.19255/JMPM02801,2022,scopus
Hoffman R.C.,producer cooperatives of the knights of labor seeking worker independence,Labor History,0023656X,10.1080/0023656X.2022.2109009,2022,scopus
Almutairi A.R.,earnings management and the role of mosal in coops,Journal of Co-operative Organization and Management,2213297X,10.1016/j.jcom.2021.100131,2021,scopus
Aghabarari L.; Guettler A.; Naeem M.; Van Doornik B.,is there help indeed if there is help in need the case of credit unions during the global financial crisis,Economic Inquiry,00952583,10.1111/ecin.12982,2021,scopus
Martínez M.R.; Ibáñez P.C.; Campillo J.P.,la predicción del fracaso empresarial de las cooperativas españolas aplicación del algoritmo extreme gradient boosting,"CIRIEC-Espana Revista de Economia Publica, Social y Cooperativa",19896816,10.7203/CIRIEC-E.101.15572,2021,scopus
Li J.; He R.; deVoil P.; Wan S.,enhancing the application of organic fertilisers by members of agricultural cooperatives,Journal of Environmental Management,03014797,10.1016/j.jenvman.2021.112901,2021,scopus
Makoye E.B.; Larsen M.N.; Kuzilwa J.A.,tobacco farming and the reconfiguration of cooperatives in tanzania,Journal of Southern African Studies,03057070,10.1080/03057070.2022.2053418,2022,scopus
Blekking J.; Gatti N.; Waldman K.; Evans T.; Baylis K.,the benefits and limitations of agricultural input cooperatives in zambia,World Development,0305750X,10.1016/j.worlddev.2021.105616,2021,scopus
Gomez-Biscarri J.; López-Espinosa G.; Mesa-Toro A.,the risk implications of the business loan activity in credit unions,Journal of Financial Stability,15723089,10.1016/j.jfs.2021.100932,2021,scopus
Li H.; Liu Y.; Zhao X.; Zhang L.; Yuan K.,estimating effects of cooperative membership on farmers safe production behaviors evidence from the rice sector in china,Environmental Science and Pollution Research,09441344,10.1007/s11356-020-12337-z,2021,scopus
Parrilla-González J.A.; Ortega-Alonso D.,dimensions of social innovation in agricultural cooperatives a model applied to the spanish olive oil industry,New Medit,15945685,10.30682/NM2103H,2021,scopus
Abafe E.A.; Oduniyi O.S.; Tekana S.S.,quantitative analysis of farmers perception of the constraints to sunflower production a transverse study approach using hierarchical logistic model hlm,Sustainability (Switzerland),20711050,10.3390/su132313331,2021,scopus
Patmore G.; Balnave N.; Marjanovic O.,resistance is not futile cooperatives demutualization agriculture and neoliberalism in australia,Business and Politics,13695258,10.1017/bap.2021.10,2021,scopus
Olujimi J.; Rotowa O.; Fasina T.; Ojo B.; Bello M.,the willingness of cooperative societies to sponsor house ownership in akure nigeria,Heliyon,24058440,10.1016/j.heliyon.2021.e06950,2021,scopus
Barcelos S.M.B.D.; Salvador R.; Barros M.V.; de Francisco A.C.; Guedes G.,circularity of brazilian silk promoting a circular bioeconomy in the production of silk cocoons,Journal of Environmental Management,03014797,10.1016/j.jenvman.2021.113373,2021,scopus
Nilsson J.,agricultural cooperative development and institutional change swedish examples from 1990 to 2020,International Journal on Food System Dynamics,18696945,10.18461/ijfsd.v13i2.B1,2022,scopus
Pipíšková P.; Muchová Z.; Dežerický D.,map based information support system on land use case of horná nitra slovakia,Journal of Ecological Engineering,22998993,10.12911/22998993/145327,2022,scopus
Zantsi S.,why do agricultural cooperatives fail to attract youth and create rural employment evidence from a case study of zanokhanyo in butterworth eastern cape,South African Journal of Agricultural Extension,0301603X,10.17159/2413-3221/2021/v49n1a10785,2021,scopus
Liang C.; Xingqing Y.; Ma J.,can ecommerce improve the profitability of agricultural cooperatives ar e prekyba gali pagerinti žemės ūkio kooperatyvų pelningumą,Transformations in Business and Economics,16484460,,2021,scopus
Tortia E.; Troisi R.,the resilience and adaptative strategies of italian cooperatives during the covid19 pandemic,Foresight and STI Governance,25002597,10.17323/2500-2597.2021.4.78.88,2021,scopus
Dower B.; Gaddis J.,relative to the landscape producer cooperatives in native food sovereignty initiatives,Journal of Co-operative Organization and Management,2213297X,10.1016/j.jcom.2021.100147,2021,scopus
Skydan O.; Budnik O.; Sus L.,the role of agroholdings in the creation of cooperatives by rural communities,Agricultural and Resource Economics,2414584X,10.51599/are.2021.07.03.07,2021,scopus
Yu H.; Tong X.,producer vs local government the locational strategy for endoflife photovoltaic modules recycling in zhejiang province,"Resources, Conservation and Recycling",09213449,10.1016/j.resconrec.2021.105484,2021,scopus
Kaumbata W.; Nakimbugwe H.; Nandolo W.; Banda L.J.; Mészáros G.; Gondwe T.; Woodward-Greene M.J.; Rosen B.D.; Van Tassell C.P.; Sölkner J.; Wurzinger M.,experiences from the implementation of communitybased goat breeding programs in malawi and uganda a potential approach for conservation and improvement of indigenous small ruminants in smallholder farms,Sustainability (Switzerland),20711050,10.3390/su13031494,2021,scopus
Laliwan S.; Potipiroon W.,board capital organizational capital and organizational performance of agricultural and nonagricultural cooperatives in thailand,ABAC Journal,08580855,,2022,scopus
Tremma O.; Kontogeorgos A.; Karipidis P.; Chatzitheodoridis F.,mapping the market segments for the consumers of greek cooperative food products,Sustainability (Switzerland),20711050,10.3390/su13073825,2021,scopus
Adusei M.; Adeleye N.; Okafor A.,drivers of credit union penetration an international analysis,Managerial and Decision Economics,01436570,10.1002/mde.3267,2021,scopus
Folorunso E.A.; Rahman M.A.; Sarfo I.; Darko G.; Olowe O.S.,catfish farming a sustainability study at eriwe fish farming village in southwest nigeria,Aquaculture International,09676120,10.1007/s10499-021-00662-0,2021,scopus
Feitosa E.R.M.; Nunes E.M.; de Andrade H.D.; Schneider S.; da Rocha A.B.,nexus family farming renewable energies and market building in rural territories in rio grande do norte nexus agricultura familiar energias renováveis e construção de mercados nos territórios rurais do rio grande do norte,Revista de Economia e Sociologia Rural,01032003,10.1590/1806-9479.2021.238969,2022,scopus
Nonnenmacher T.; Gerard D.,who should own the league transaction costs and the structure of nba ownership,Journal of Sports Economics,15270025,10.1177/15270025211031474,2022,scopus
Munch D.M.; Schmit T.M.; Severson R.M.,assessing the value of cooperative membership a case of dairy marketing in the united states,Journal of Co-operative Organization and Management,2213297X,10.1016/j.jcom.2021.100129,2021,scopus
Costa P.R.N.; Stoberl P.R.,the institutional and social conditioning of recruitment of the agroindustrial cooperativism political elite os condicionantes institucionais e sociais do recrutamento da elite política do cooperativismo agroindustrial1,Revista de Economia e Sociologia Rural,01032003,10.1590/1806-9479.2021.232252,2022,scopus
Liang P.; Sima M.; Huang Y.; Sun X.,assessing the coordinated revenuesharing contract of chinas farmersupermarket directpurchase model,International Food and Agribusiness Management Review,15592448,10.22434/IFAMR2020.0196,2022,scopus
Tadesse B.; Tilahun Y.; Bekele T.; Mekonen G.,assessment of challenges of crop production and marketing in benchsheko kaffa sheka and westomo zones of southwest ethiopia,Heliyon,24058440,10.1016/j.heliyon.2021.e07319,2021,scopus
Edelman M.,hollowed out heartland usa how capital sacrificed communities and paved the way for authoritarian populism,Journal of Rural Studies,07430167,10.1016/j.jrurstud.2019.10.045,2021,scopus
Kiet T.H.V.T.; Nguyen T.T.K.; Pham N.T.,agrifood value chain performance during the covid19 pandemic an empirical study of chumango business linkages in dong thap vietnam,International Journal on Food System Dynamics,18696945,10.18461/ijfsd.v12i4.97,2021,scopus
Rogers S.; Wilmsen B.; Han X.; Wang Z.J.-H.; Duan Y.; He J.; Li J.; Lin W.; Wong C.,scaling up agriculture the dynamics of land transfer in inland china,World Development,0305750X,10.1016/j.worlddev.2021.105563,2021,scopus
Georges C.M.; Caleman S.M.D.Q.; Monteiro G.F.D.A.,exploring communication aspects in agricultural cooperatives,International Journal on Food System Dynamics,18696945,10.18461/ijfsd.v13i2.B2,2022,scopus
Wang J.; Chen H.; Zhang H.; Luo J.; Cheng M.; Zhang J.,property rights reform and capital adequacy ratios of rural credit cooperatives in china,Economic Modelling,02649993,10.1016/j.econmod.2021.105707,2022,scopus
Liang Q.; Li L.; Bai R.,welfare effects of vegetable producers inclusiveness in supply chain coordination direct effects and spillovers,British Food Journal,0007070X,10.1108/BFJ-07-2020-0652,2021,scopus
Francesconi N.; Wouterse F.; Namuyiga D.B.,agricultural cooperatives and covid19 in southeast africa the role of managerial capital for rural resilience,Sustainability (Switzerland),20711050,10.3390/su13031046,2021,scopus
